,mean_tp_pr,mean_st_pr,max_tp_pr,max_st_pr,sum_st_pr,sum_tp_pr,num_tp_pr,num_st_pr,num_trade_pr,max_st,max_st_power,min_st,min_st_power,max_tp,max_tp_power,min_tp,min_tp_power,value_front_intervals_pr_upper,value_front_intervals_pr_upper_power,value_front_intervals_pr_lower,value_front_intervals_pr_lower_power,value_back_intervals_pr_upper,value_back_intervals_pr_upper_power,value_back_intervals_pr_lower,value_back_intervals_pr_lower_power,diff_extereme,money,draw_down,score,methode
0,0.346353063,0.253693522,2.111236621,0.888074836,45.13541727,61.63374422,151,86,237,0.66,0.358024691,0.63,0.358024691,0.83,0.201438849,0.81,0.201438849,2.092952449,0.82,1.989319612,0.82,0.131436033,0.695652174,0.041072499,0.695652174,0.0,141.2458174,8.510308957,21.10646476,pr
1,0.502954479,0.220981032,1.914966374,1.055017922,44.55071743,96.53066055,141,121,262,0.75,0.116666667,0.35,0.15,0.97,0.554054054,0.6,0.135135135,0.254749883,0.461538462,0.116616491,0.846153846,0.092607064,0.642857143,-0.024186547,0.535714286,0.0,259.897696,7.947497537,22.23798853,pr
2,0.27107955,0.297820201,0.97697392,0.855002109,5.827367874,6.238298275,16,12,28,0.78,0.333333333,0.33,0.333333333,0.95,0.857142857,0.62,0.142857143,0.638122005,1.0,0.313013527,0.333333333,0.378916899,0.333333333,0.035978918,1.0,0.0,101.027326,4.568916668,5.113752781,pr
3,0.194850442,0.619275192,0.458487643,1.100566373,3.76520396,1.07143893,4,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.26558743,2.709523763,3.101476418,pr
4,0.251406582,0.151396649,0.629458038,0.55066833,0.55066833,1.007345138,3,1,4,0.72,0.25,0.25,0.25,1.16,1.0,0.72,0.333333333,1.135852131,1.0,0.01965865,1.0,-2.157058524,1.0,-6.302887728,1.0,0.0,101.141692,0.0,15.69354429,pr
5,0.394286977,0.164019274,2.006554771,0.600346251,23.921175,54.95763082,112,77,189,0.37,0.166666667,0.27,0.333333333,0.7,1.0,0.58,0.166666667,0.829305643,0.25,0.526640479,0.25,0.063586671,0.666666667,-0.180995159,0.666666667,5.0,177.5911395,3.433931227,34.32624906,pr
6,0.141843939,0.137265765,0.36571081,0.383211575,0.823594588,0.880998445,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1435096,0.954314684,3.568220426,pr
7,0.453586103,0.27116939,1.894476284,0.811604848,26.25609716,41.27006201,73,53,126,0.77,0.171428571,0.39,0.371428571,1.04,1.0,0.65,0.264367816,0.22557413,0.935483871,0.02670323,0.935483871,0.045679784,1.0,-0.176973823,0.511627907,0.0,137.5349121,7.454368346,23.2889683,pr
8,0.309892396,0.280752245,0.549291364,1.125248175,1.942385138,1.651752133,5,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.27341749,2.775013169,5.717959242,pr
9,0.23993204,0.119305856,0.893366971,0.617436266,6.876923522,21.03979031,75,22,97,0.61,0.55,0.53,0.55,0.89,0.183333333,0.82,0.183333333,0.493342415,0.6,0.442823137,0.6,0.29827165,0.388888889,0.272208665,1.0,0.0,135.407167,3.163566323,20.14341385,pr
10,0.408810367,0.146829177,0.87652756,0.607603025,3.100519534,9.533733228,20,6,26,0.51,0.285714286,0.44,0.285714286,0.85,1.0,0.8,0.125,1.45791511,1.0,1.279436741,1.0,-0.333405017,1.0,-0.649117774,1.0,0.0,116.0830342,2.551504074,21.05916883,pr
11,0.194840819,0.074381468,0.876610418,0.696913238,16.32123425,41.50470164,171,96,267,0.38,0.130434783,0.14,0.260869565,0.83,1.0,0.53,0.166666667,0.697471311,1.0,0.366868189,0.75,0.318113901,0.636363636,0.108860991,0.909090909,0.0,162.9586685,2.236120819,25.77394283,pr
12,0.464712435,0.139037201,1.894476284,0.60624141,12.19400668,39.01436835,74,30,104,0.44,0.024390244,0.4,0.024390244,0.85,0.136363636,0.82,0.136363636,4.607194243,0.857142857,4.230942755,0.857142857,-0.104606404,0.727272727,-0.461824742,0.727272727,0.0,167.0509042,2.547031531,41.07321214,pr
13,0.266734383,0.148251477,0.895313297,0.494524515,6.031057395,10.1921774,30,23,53,0.31,0.130434783,0.16,0.304347826,0.8,1.0,0.56,0.136363636,6.16195142,0.5,3.102539186,0.7,0.869008984,0.666666667,-1.681541407,1.0,0.0,110.4028,2.102247989,16.0447052,pr
14,0.418313571,0.180654391,1.713279424,0.61120253,2.506844839,6.145830512,11,8,19,0.7,0.142857143,0.51,0.285714286,0.79,0.125,0.6,0.25,4.591662564,0.333333333,2.973399744,0.333333333,0.5410775,0.666666667,-1.990846817,0.333333333,0.0,172.7797135,5.49749033,19.20535458,pr
15,0.524672492,0.216512858,1.171302925,0.904032988,20.23367378,51.52003744,84,39,123,0.68,0.142857143,0.23,0.119047619,0.96,0.568627451,0.72,0.058823529,2.911651899,0.333333333,1.034094134,0.619047619,0.441704527,0.666666667,-1.067355416,0.866666667,6.0,13018.75044,31.96642087,30.91729274,pr
16,0.547695226,0.268448401,2.343797431,0.750915143,49.19449829,89.96624878,127,101,228,0.69,0.422413793,0.34,0.422413793,0.99,1.0,0.7,1.0,2.368677123,0.629213483,1.488751814,1.0,1.094413317,1.0,0.372654866,0.770114943,5.0,17380.41693,71.39399593,23.49845125,pr
17,0.542727435,0.123353427,1.281516023,0.600346251,12.24740684,57.95156563,98,29,127,0.51,0.222222222,0.28,0.301587302,1.0,1.0,0.83,0.1625,7.76599768,0.829268293,5.092911292,0.829268293,1.958792282,1.0,-0.507528435,0.780487805,5.0,44969.78034,17.42189926,48.83106403,pr
18,0.539499155,0.288004558,1.343259252,1.024518197,53.59577508,105.6793357,163,91,254,0.67,0.175824176,0.4,0.230769231,0.91,1.0,0.69,0.204301075,1.401285802,0.675675676,0.911855832,0.864864865,0.60864756,1.0,0.275959894,0.810810811,5.0,39180.62296,71.97878222,35.52633938,pr
19,0.402483956,0.162759651,1.132019494,0.899837984,13.95278555,33.4376548,73,38,111,0.57,0.152173913,0.49,0.130434783,0.87,0.195652174,0.81,0.195652174,0.512242499,1.0,0.459589411,1.0,0.225653227,1.0,0.184162401,1.0,0.0,1953.627938,36.09281447,25.57347908,pr
20,0.370270283,0.206422834,1.782654659,0.670860205,12.46434153,24.79233974,58,29,87,0.54,0.25,0.46,0.25,0.7,0.25,0.63,0.3125,2.610121289,0.5,2.185634356,0.625,0.64695092,0.5,0.301819449,0.666666667,0.0,586.965843,13.19755881,14.51161665,pr
21,0.419932342,0.227077121,1.106947206,0.786107301,14.83687596,23.18700073,48,39,87,0.73,0.145833333,0.53,0.1875,1.01,0.162162162,0.84,0.108108108,1.662958897,0.95,1.156744512,1.0,0.294876624,0.84,-0.174447416,1.0,0.0,208.7976898,32.08174486,8.69619114,pr
22,0.22000943,0.111868948,0.649814114,0.649429339,1.84258962,4.274696068,16,10,26,0.75,0.578947368,0.63,0.210526316,0.9,1.0,0.79,0.15625,0.303713779,0.8,0.228332632,0.9,-0.018367531,1.0,-0.072377283,1.0,5.0,148.642129,9.616401438,6.048362597,pr
23,0.296732201,0.349159689,1.628354263,0.872779327,19.16917237,13.85675796,27,41,68,0.66,1.0,0.49,0.142857143,0.63,1.0,0.39,0.75,6.245700104,0.5,3.814960009,0.5,1.052712997,1.0,0.386378734,1.0,0.0,-6.248288249,74.33536224,3.255696888,pr
24,0.475120598,0.150459373,1.660797548,0.352057755,0.932878659,2.776046369,5,4,9,0.84,0.076923077,0.52,0.076923077,0.81,1.0,0.5,0.222222222,3.143867267,1.0,1.624834145,1.0,0.491207888,0.75,-0.841289112,0.5,0.0,136.8633542,8.438067599,19.8267251,pr
25,0.418301342,0.284074538,1.160099128,0.948286479,52.86024622,86.31377337,167,102,269,0.81,0.112781955,0.52,0.233082707,0.86,0.130681818,0.6,0.193181818,0.697291674,0.632653061,0.222598962,1.0,-0.050819978,1.0,-0.378388328,0.818181818,0.0,7358.075843,81.37890145,15.23919662,pr
26,0.413834037,0.21133932,1.076983471,0.936481143,32.98182791,71.44339998,146,67,213,0.66,0.122641509,0.44,0.188679245,0.86,1.0,0.7,0.183673469,0.7304736,0.859649123,0.510000391,1.0,0.221886493,1.0,0.026032051,0.910714286,5.0,20937.05981,40.26022684,25.89046115,pr
27,0.419914425,0.191712111,2.330088233,0.917006195,62.823057,131.3072419,242,182,424,0.81,0.144827586,0.44,0.2,1.1,1.0,0.72,0.319018405,1.108041926,0.5,0.521188049,1.0,0.425992441,0.730769231,-0.061451403,0.653846154,0.0,73077.87103,52.69996457,45.77816576,pr
28,0.390028041,0.169621614,1.010497274,0.606395282,5.171920329,12.92214878,29,10,39,,,,,,,,,,,,,,,,,,275.9053195,12.7292758,18.30679723,
