,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,HLC/3,6,130,4,macdh,3,101,3,10,0.1,2977,445,249,22,687,50,154,612,71,51,874,209,232,3,861,665,366,312,915,845,381,355,514,830,554,375,370,558,661,99,4,48,52,2,863,10,24,103,9,819,5,22,0.13,0.11,0.13,0.16,0.1086724084853268,0.37,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,22.27310477610025,True,False,-0.4212415218279519,-0.0955627319758745,-0.1039023455880886
1,high,5,103,4,macds,4,291,6,3,0.21,1782,712,38,246,907,295,369,366,326,178,754,298,48,603,891,779,456,325,760,590,446,410,475,981,546,280,316,93,180,282,25,54,36,16,742,14,29,89,13,243,12,18,0.27,0.06,0.0564932061505454,0.1635364908601972,0.0591491952036166,0.37,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,True,42.68208429484843,True,False,-0.3217279779710592,-0.0913265265127603,-0.0947620582106825
2,low,6,120,3,macds,4,344,6,13,0.09,872,759,55,369,917,384,390,646,186,249,257,357,269,472,1000,910,485,265,694,547,450,400,10,284,978,831,659,311,331,416,9,18,14,7,651,11,35,79,17,510,9,6,0.22,0.1,0.1,0.24,0.1937421857237263,0.46,True,True,False,True,False,True,False,False,True,True,False,True,True,True,True,True,True,23.10705608138554,True,False,-0.2491420138657494,-0.0625286867114717,-0.0684342412274037
3,close,5,119,3,macds,4,65,6,5,0.12,1672,549,110,299,32,32,369,390,40,39,414,53,30,60,976,678,478,378,962,564,456,332,610,776,893,893,738,725,215,369,6,53,10,20,855,6,16,11,10,768,6,4,0.1,0.07,0.0564932061505454,0.1635364908601972,0.0591491952036166,0.37,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,43.69085495154998,True,False,-0.2792882674861677,-0.0725709464595367,-0.0765398663359318
4,low,4,116,3,macd,4,243,5,9,0.37,1722,571,372,154,982,7,386,248,136,100,609,106,5,560,630,525,469,338,959,757,463,450,398,570,465,270,347,470,375,806,5,24,99,18,50,13,40,93,13,130,18,6,0.32,0.13,0.01,0.97,0.05,0.95,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,29.51286689858234,True,False,-0.2427220265548827,-0.0610212201740462,-0.0709261918360334
5,HL/2,5,114,4,macd,4,72,5,15,0.24,706,449,108,55,546,251,17,946,258,111,918,163,158,804,657,603,319,289,881,676,390,308,517,47,561,745,900,911,416,909,27,32,54,5,611,14,43,17,20,319,22,13,0.19,0.31,0.17,0.27,0.1995748264675177,0.5,True,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,False,25.11299824871903,True,False,-0.2902451637746543,-0.0846950567433299,-0.0921754272552182
6,high,5,132,4,macdh,3,13,5,5,0.23,1428,336,148,199,408,144,55,198,193,69,787,2,284,413,706,690,467,449,880,770,322,262,829,696,945,245,447,322,99,567,23,57,19,10,760,6,46,20,7,785,11,17,0.33,0.24,0.05,0.92,0.04,0.99,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,False,36.614206197376525,True,False,-0.515234416586185,-0.0998912837195686,-0.1051500081047306
7,HL/2,4,106,3,macdh,4,84,5,7,0.25,595,400,81,384,899,398,384,356,238,367,983,64,341,378,580,538,336,305,960,883,392,288,880,561,468,440,854,992,437,315,3,27,3,8,770,12,30,18,7,587,25,5,0.33,0.37,0.87,0.91,0.04,0.94,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,22.99372782810904,True,False,-0.5259380685392712,-0.117474154960834,-0.1259562208876127
8,HLCC/4,6,90,4,macds,4,269,5,4,0.25,244,300,67,159,479,54,235,497,181,118,230,400,97,467,979,949,436,403,865,670,499,474,103,71,337,412,584,483,277,11,10,56,35,6,185,2,31,32,9,316,21,7,0.3,0.07,0.81,0.11,0.04,0.93,True,True,False,False,False,True,True,False,True,False,False,True,True,False,True,True,True,50.52162597343381,True,False,-0.3219637131287661,-0.1032339285445642,-0.1099641184672689
9,OHLC/4,4,108,4,macdh,4,322,5,13,0.09,1466,681,238,179,506,113,82,558,121,103,366,148,371,356,918,578,450,303,585,522,377,335,947,502,206,348,902,566,507,588,2,50,61,20,819,6,30,84,2,280,18,19,0.15,0.03,0.09,0.99,0.05,0.1,False,True,True,True,False,True,False,False,False,False,False,True,True,False,True,True,True,25.24884120016818,True,False,-0.522330127546317,-0.11944883979422,-0.1276792912638537
