,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,OHLC/4,205,496,41,macdh,186,9,5,6,0.04,1090,307,387,342,496,350,164,259,14,264,412,348,301,390,943,844,413,381,593,519,313,293,246,847,723,232,879,841,637,361,2,27,68,9,139,15,43,21,8,275,17,23,0.32,0.37,0.13,0.33,0.27,0.43,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,False,35.99799016713917,True,False,-0.1050216259653368,-0.0302946885287736,-0.0293219014930001
1,close,178,414,32,macdh,336,9,6,11,0.39,2371,420,380,189,777,5,297,833,325,41,62,271,135,726,850,792,459,344,994,842,490,440,777,999,74,10,888,936,465,638,5,51,45,16,778,10,38,19,16,907,5,3,0.21,0.05,0.91,0.93,0.82,0.94,False,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,35.99799016713917,True,False,-0.1050216259653368,-0.0302946885287736,-0.0293219014930001
2,OHLC/4,156,485,28,macdh,207,7,5,18,0.24,2362,891,270,288,553,333,113,550,362,153,464,13,325,661,906,860,450,417,856,809,480,311,35,857,924,489,113,637,999,86,7,17,52,19,760,5,14,41,7,321,11,21,0.1,0.2,0.49,0.85,0.62,0.95,True,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,35.99799016713917,True,False,-0.1050216259653368,-0.0302946885287736,-0.0293219014930001
3,HLC/3,157,457,28,macdh,218,9,5,18,0.23,2102,394,194,147,961,352,41,906,10,73,989,177,176,512,693,515,399,259,791,501,351,260,588,857,762,818,207,312,639,926,9,13,89,11,109,5,46,90,11,397,14,21,0.35,0.39,0.84,0.98,0.81,0.88,True,True,False,True,True,False,True,False,False,True,False,True,True,False,True,True,False,35.99799016713917,True,False,-0.1050216259653368,-0.0302946885287736,-0.0293219014930001
4,HL/2,210,476,38,macdh,398,6,1,12,0.08,1495,556,389,258,358,207,259,11,172,279,223,248,179,875,925,668,420,273,921,776,493,360,601,563,188,403,379,630,45,960,10,32,79,3,995,4,11,29,17,798,13,20,0.28,0.08,0.81,0.82,0.92,0.92,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,True,False,35.99799016713917,True,False,-0.1050216259653368,-0.0302946885287736,-0.0293219014930001
5,low,177,416,37,macdh,330,9,6,8,0.04,217,885,344,205,898,129,11,10,296,245,197,341,141,219,683,505,496,338,638,558,479,457,549,376,47,564,74,837,228,515,13,39,32,5,837,10,37,28,14,867,12,6,0.36,0.18,0.68,0.73,0.79,0.83,True,True,True,True,False,False,True,True,True,False,True,False,False,True,True,True,True,31.76224882329089,True,False,-0.0800396252527699,-0.0172423777822083,-0.0167069810948173
6,low,213,399,30,macdh,177,7,5,14,0.26,806,777,7,185,811,236,38,757,213,193,836,325,162,208,554,534,481,330,782,532,387,326,869,109,471,981,614,480,294,13,2,55,21,4,948,5,9,55,13,501,9,22,0.03,0.04,0.57,0.73,0.71,0.84,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,True,False,35.99799016713917,True,False,-0.1050216259653368,-0.0302946885287736,-0.0293219014930001
7,OHLC/4,144,538,41,macdh,291,9,6,20,0.1,1849,313,196,200,46,62,130,769,391,100,262,119,225,269,963,692,292,290,908,701,484,481,890,896,855,610,222,745,644,363,26,42,42,17,991,5,14,4,3,853,3,22,0.2,0.1,0.53,0.87,0.65,0.89,False,False,True,True,True,True,False,False,False,False,True,False,True,False,True,True,False,35.99799016713917,True,False,-0.1050216259653368,-0.0302946885287736,-0.0293219014930001
8,low,163,413,37,macdh,346,6,1,17,0.36,751,894,187,332,398,20,136,573,249,106,293,368,155,800,976,655,407,371,917,694,476,378,209,436,670,625,249,80,681,207,5,31,79,7,75,17,36,40,14,822,25,3,0.01,0.15,0.43,0.85,0.98,0.8,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,35.99799016713917,True,False,-0.1050216259653368,-0.0302946885287736,-0.0293219014930001
9,high,158,470,33,macdh,293,8,6,14,0.14,2842,204,169,60,299,67,10,409,151,136,484,222,310,70,787,553,347,320,885,850,463,443,289,121,378,553,760,529,81,611,18,21,36,20,519,9,41,50,18,367,2,19,0.3,0.19,0.44,0.45,0.46,0.47,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,35.99799016713917,True,False,-0.1050216259653368,-0.0302946885287736,-0.0293219014930001
