,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,OHLC/4,127,424,12,macdh,122,3,6,16,0.14,1693,528,153,178,939,396,346,948,128,126,893,128,60,660,841,709,500,266,909,784,457,340,469,72,280,875,532,500,117,257,25,43,84,10,634,2,25,47,18,895,15,14,0.12,0.17,0.51,0.74,0.65,0.86,True,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,True,5.690314424900144,True,False,-0.348053822673924,-0.0975607314975788,-0.0995346644905382
1,HLC/3,122,572,12,macdh,75,2,5,15,0.17,1304,749,312,4,53,349,206,421,134,225,921,127,134,561,824,756,403,378,586,562,319,294,269,733,307,448,176,818,888,740,12,19,94,3,96,12,39,96,3,527,21,6,0.37,0.26,0.49,0.86,0.59,0.96,False,False,False,True,True,False,True,False,False,True,True,True,True,True,True,True,False,5.637558820034533,True,False,-0.3479762315597973,-0.0897094927818197,-0.0915216187315637
2,HLC/3,136,543,12,macdh,327,2,1,15,0.36,1430,620,182,349,521,386,374,978,29,165,83,86,355,144,993,561,330,263,775,646,434,433,540,795,309,38,78,321,803,14,3,58,15,12,177,18,51,50,11,583,14,4,0.38,0.37,0.29,0.37,0.44,0.53,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,14.703906440265026,True,False,-0.3211689561753474,-0.0796658474107634,-0.0816016764704926
3,low,129,430,11,macdh,390,2,2,14,0.33,752,398,197,61,968,268,112,878,321,291,731,218,151,855,753,655,319,263,985,879,414,265,649,514,703,684,956,737,117,832,23,26,91,13,586,5,52,94,18,226,13,11,0.23,0.12,0.65,0.75,0.78,0.86,False,True,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,5.690314424900144,True,False,-0.34805382267392404,-0.09756073149757889,-0.09953466449053827
4,close,112,553,8,macdh,75,3,5,8,0.07,1836,700,231,135,353,62,375,360,249,281,994,400,381,806,847,513,368,269,652,532,358,309,415,993,115,321,703,203,138,284,15,52,64,10,391,2,11,49,17,594,22,25,0.2,0.16,0.52,0.79,0.63,0.9,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,False,True,6.006286358729581,True,False,-0.348809128265634,-0.08949617073949227,-0.09108668738046169
5,high,119,545,11,macdh,220,3,6,18,0.11,2966,576,303,228,604,340,345,824,79,70,712,66,253,481,635,512,359,328,911,658,408,406,661,936,533,706,647,40,451,491,13,56,69,14,578,7,35,22,17,654,16,20,0.01,0.16,1.18,1.01,1.06,1.13,True,False,True,True,True,True,False,False,True,False,True,False,False,True,False,False,False,0.0,False,True,0.0,0.0,0.0
6,high,147,519,10,macdh,378,3,6,5,0.1,857,912,309,37,433,209,195,963,4,108,178,305,116,314,979,937,405,278,994,598,457,291,495,821,50,655,23,746,30,264,12,43,47,3,952,18,51,101,19,937,17,21,0.09,0.08,1.0,1.02,1.17,1.1,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,0.0,False,True,0.0,0.0,0.0
7,low,114,451,12,macds,350,3,6,4,0.35,1160,626,146,345,289,166,126,325,288,140,697,159,212,280,842,717,323,262,909,686,500,409,371,133,379,597,565,927,329,584,10,54,17,16,46,7,41,36,16,778,24,19,0.36,0.38,1.07,1.08,1.06,1.14,True,False,False,False,True,True,True,False,False,True,False,True,False,False,True,True,False,0.0,False,True,0.0,0.0,0.0
8,HLCC/4,106,590,12,macdh,242,2,6,20,0.26,540,455,321,156,538,283,15,139,226,376,236,145,337,322,654,580,421,348,927,840,406,353,795,984,794,327,86,653,855,401,28,42,41,2,584,5,30,17,2,478,21,4,0.05,0.17,1.07,1.04,1.19,1.01,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,True,True,0.0,False,True,0.0,0.0,0.0
9,HL/2,127,567,10,macd,82,2,6,13,0.35,1389,610,261,213,866,301,282,401,219,22,153,277,10,936,757,565,422,297,762,660,456,341,441,459,438,312,522,96,734,234,25,48,30,3,767,18,23,96,16,981,9,18,0.31,0.16,1.09,1.04,1.14,1.01,True,False,False,False,True,False,False,False,True,True,True,True,True,False,False,True,False,0.0,False,True,0.0,0.0,0.0
10,HLC/3,143,464,11,macds,200,2,6,7,0.4,834,271,377,235,812,192,330,549,231,154,661,4,299,438,760,579,471,332,759,531,406,286,678,861,657,428,19,721,633,595,24,41,34,10,699,10,47,33,17,474,18,15,0.21,0.38,1.08,1.16,1.15,1.16,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,0.0,False,True,0.0,0.0,0.0
11,low,107,497,11,macd,250,3,6,5,0.35,1380,355,237,313,914,157,87,272,40,8,490,201,34,415,804,791,415,384,946,811,369,293,10,947,929,195,917,553,135,540,11,37,59,3,830,9,35,46,3,393,4,6,0.21,0.13,1.11,1.17,1.16,1.14,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,True,0.0,False,True,0.0,0.0,0.0
12,high,143,405,12,macdh,53,3,6,10,0.4,2530,681,356,51,66,275,51,883,383,105,94,348,265,215,883,533,466,359,819,509,470,463,662,132,458,731,677,105,665,555,2,39,22,5,585,13,33,52,20,537,3,11,0.3,0.25,1.13,1.05,1.07,1.08,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True,0.0,False,True,0.0,0.0,0.0
13,HLCC/4,106,517,10,macds,327,3,6,3,0.39,1467,490,193,99,930,253,248,278,71,99,46,329,369,91,915,623,492,406,986,699,392,270,402,449,629,416,366,186,365,852,23,26,76,1,78,4,35,47,15,947,4,10,0.04,0.06,1.04,1.18,1.09,1.1,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,0.0,False,True,0.0,0.0,0.0
14,HLCC/4,140,589,9,macd,160,3,6,9,0.23,2746,340,170,285,654,243,388,754,189,203,115,222,208,238,910,649,472,404,770,729,359,253,677,712,529,571,919,710,240,441,17,26,36,2,507,11,34,81,20,399,17,16,0.07,0.15,1.18,1.19,1.07,1.15,True,True,False,True,False,False,True,False,True,True,True,False,False,True,True,True,False,0.0,False,True,0.0,0.0,0.0
15,low,132,456,8,macd,230,2,6,11,0.19,454,259,145,213,411,362,187,189,26,226,171,289,6,38,894,882,424,406,720,667,404,394,573,842,364,51,691,863,175,662,18,34,5,4,383,7,28,35,3,604,23,23,0.38,0.01,1.12,1.0,1.18,1.01,False,False,True,True,True,True,False,True,False,True,False,False,False,True,True,False,True,0.0,False,True,0.0,0.0,0.0
16,low,142,539,12,macdh,390,2,6,16,0.35,689,329,283,172,798,252,235,282,314,128,647,191,63,33,842,726,354,269,576,544,471,268,828,646,705,396,623,117,724,661,26,31,39,2,158,18,29,57,10,788,23,12,0.19,0.32,1.12,1.15,1.2,1.2,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
17,open,131,461,10,macdh,260,2,6,12,0.33,294,347,395,366,802,164,155,543,296,220,545,53,104,880,595,583,322,265,797,524,497,315,710,511,933,234,898,702,606,490,9,14,2,1,803,7,39,8,8,686,18,17,0.05,0.04,1.16,1.17,1.02,1.06,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,0.0,False,True,0.0,0.0,0.0
18,low,107,465,8,macdh,40,2,6,6,0.24,916,262,142,17,15,133,63,379,326,100,306,337,39,745,767,723,330,258,998,765,473,290,629,503,840,150,370,434,879,812,7,49,57,17,980,3,16,25,5,773,17,17,0.33,0.32,1.05,1.07,1.17,1.14,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.0,False,True,0.0,0.0,0.0
19,HLC/3,105,443,10,macd,359,3,6,1,0.11,1667,444,225,279,329,321,96,770,203,276,511,210,43,306,870,655,418,356,710,641,336,305,228,238,672,731,366,735,536,168,26,46,23,8,530,16,47,9,14,854,2,7,0.4,0.06,1.01,1.18,1.07,1.14,True,False,False,False,True,True,True,True,True,True,False,True,False,False,True,True,False,0.0,False,True,0.0,0.0,0.0
