,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
1057,high,216.0,467.0,21.0,macd,0.8922879292841176,0.8680193759324534,5.0,2.0,237.0,4H,0.2915601323044468
4012,high,5.0,565.0,41.0,macd,0.8765784908724611,0.8819690703276647,4.0,9.0,224.0,4H,0.2647393321428805
2780,high,4.0,345.0,5.0,macds,0.7891302943238302,0.7882942896688968,2.0,19.0,126.0,4H,0.25289300378266494
1320,HLCC/4,208.0,418.0,2.0,macd,0.8669914377728815,0.8476493236450247,6.0,4.0,83.0,4H,0.2365018330368845
1291,open,31.0,641.0,19.0,macd,0.7651616430958214,0.7663340675181644,5.0,4.0,496.0,4H,0.234529782884117
4825,high,10.0,176.0,35.0,macd,0.5311003406386148,0.5324663264197709,6.0,10.0,173.0,4H,0.2281599113393674
4442,OHLC/4,11.0,465.0,14.0,macds,0.6654078631755805,0.6745412603776401,5.0,11.0,240.0,4H,0.21453906147221005
3256,open,244.0,431.0,34.0,macd,0.9190536129228177,0.8914096144894748,4.0,3.0,126.0,4H,0.21422318347887595
2791,HLCC/4,2.0,498.0,35.0,macd,0.7436450823915607,0.7265685671451648,2.0,23.0,264.0,4H,0.2052362635642756
3358,HLC/3,85.0,454.0,32.0,macd,0.6147059932998361,0.5342017166655253,1.0,2.0,54.0,4H,0.20438484573627103
3355,low,3.0,448.0,35.0,macd,0.6563746574638359,0.6159525933470751,4.0,39.0,288.0,4H,0.2007133977049808
4494,low,235.0,614.0,48.0,macdh,0.4609057665087019,0.45615214346276906,6.0,2.0,182.0,4H,0.1999102916550571
722,high,147.0,617.0,30.0,macd,0.8159478232150976,0.7982088148478905,4.0,13.0,60.0,4H,0.18674958091465904
1130,low,286.0,311.0,25.0,macd,0.7527219491075445,0.7159565305859271,6.0,6.0,358.0,4H,0.18630913965041082
1448,OHLC/4,18.0,102.0,15.0,macds,0.40946774847967027,0.40783957443768754,5.0,7.0,478.0,4H,0.18183208642851825
3088,HLC/3,78.0,611.0,21.0,macd,0.5522694824472285,0.42499413771035316,1.0,4.0,300.0,4H,0.17284316964748864
3748,close,6.0,291.0,12.0,macds,0.4731793554500708,0.46689851033887797,6.0,32.0,208.0,4H,0.16939099503458005
2356,high,8.0,180.0,50.0,macd,0.40711660444476655,0.3944819533196028,1.0,21.0,480.0,4H,0.16505727174768176
3832,OHLC/4,189.0,666.0,49.0,macd,0.8546785856448262,0.8426233609921322,1.0,8.0,148.0,4H,0.1628780355829165
841,low,26.0,209.0,25.0,macd,0.3785905847486548,0.378046285772408,1.0,15.0,303.0,4H,0.16253442024988818
2040,low,105.0,409.0,11.0,macd,0.43882465105318624,0.36680531609295075,2.0,3.0,197.0,4H,0.16115112009507845
4168,OHLC/4,240.0,561.0,6.0,macd,0.9950638376767338,0.9949774241245432,1.0,13.0,200.0,4H,0.1582127164302554
