,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,HL/2,22.0,102.0,102.0,5.0,17.0,0.06,1309.0,698.0,149.0,374.0,690.0,356.0,197.0,76.0,14.0,125.0,507.0,81.0,137.0,485.0,969.0,714.0,330.0,273.0,591.0,541.0,379.0,326.0,50.0,18.0,322.0,103.0,433.0,742.0,268.0,611.0,10.0,55.0,39.0,3.0,263.0,12.0,47.0,75.0,11.0,932.0,4.0,7.0,0.1,0.33,0.33,0.72,0.69,0.96,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,47.373285058520096,1.0,0.0,-0.1082798705972954,-0.0514073496988663,-0.0471288326640058
1,close,18.0,61.0,131.0,6.0,10.0,0.26,715.0,491.0,352.0,191.0,460.0,18.0,88.0,581.0,132.0,282.0,40.0,58.0,394.0,965.0,771.0,537.0,483.0,417.0,713.0,697.0,341.0,265.0,586.0,640.0,684.0,471.0,206.0,632.0,501.0,545.0,9.0,60.0,85.0,8.0,510.0,16.0,37.0,87.0,8.0,70.0,10.0,5.0,0.08,0.22,0.42,0.63,0.85,1.0,False,True,True,False,True,True,False,False,False,True,False,True,True,False,True,True,False,24.144081735988102,True,False,-0.1209284675237852,-0.0598928975811393,-0.053105014499273
2,HL/2,16.0,240.0,124.0,5.0,3.0,0.08,2140.0,761.0,288.0,306.0,299.0,167.0,49.0,57.0,264.0,15.0,331.0,213.0,47.0,964.0,938.0,656.0,352.0,267.0,726.0,639.0,366.0,276.0,559.0,215.0,291.0,442.0,360.0,288.0,348.0,377.0,17.0,28.0,10.0,5.0,770.0,4.0,22.0,89.0,7.0,527.0,12.0,21.0,0.21,0.01,0.19,0.32,0.54,0.76,True,False,True,False,True,True,False,True,True,False,True,False,True,True,True,False,True,43.214717225877735,True,False,-0.0764297384386815,-0.0335523579993054,-0.0285547364590302
3,OHLC/4,17.0,151.0,132.0,5.0,4.0,0.21,1674.0,856.0,244.0,190.0,966.0,300.0,251.0,163.0,275.0,353.0,133.0,76.0,226.0,864.0,902.0,577.0,453.0,426.0,985.0,794.0,396.0,345.0,810.0,807.0,99.0,719.0,847.0,137.0,611.0,323.0,8.0,9.0,16.0,8.0,518.0,15.0,50.0,59.0,12.0,96.0,18.0,19.0,0.38,0.21,0.09,0.1,0.42,0.46,True,True,False,False,True,True,True,False,True,True,False,True,True,False,True,False,True,28.27605645734234,True,False,-0.0168563185150735,-0.0073138749735264,-0.0015300192188531
4,HL/2,20.0,156.0,133.0,4.0,11.0,0.39,1604.0,357.0,248.0,210.0,326.0,95.0,393.0,929.0,252.0,2.0,264.0,133.0,204.0,119.0,793.0,686.0,381.0,368.0,868.0,612.0,473.0,422.0,847.0,925.0,663.0,108.0,890.0,172.0,319.0,518.0,13.0,24.0,2.0,17.0,344.0,10.0,45.0,30.0,10.0,780.0,18.0,5.0,0.31,0.21,0.59,0.6,0.86,0.86,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,28.967241236908777,True,False,-0.0527019251801205,-0.0228549150494676,-0.017404117643894
5,open,21.0,281.0,102.0,6.0,11.0,0.11,2709.0,440.0,145.0,360.0,12.0,134.0,86.0,470.0,104.0,329.0,989.0,343.0,219.0,470.0,713.0,528.0,457.0,385.0,981.0,970.0,388.0,333.0,622.0,281.0,27.0,14.0,903.0,472.0,977.0,444.0,5.0,42.0,55.0,17.0,921.0,8.0,50.0,96.0,18.0,90.0,7.0,9.0,0.36,0.07,0.16,0.19,0.58,0.61,False,False,True,False,True,True,True,True,True,True,True,False,False,False,True,True,False,32.056486257257205,True,False,-0.06959410104190931,-0.025056232432600748,-0.021558420035670642
6,HLC/3,19.0,258.0,136.0,6.0,20.0,0.36,785.0,764.0,382.0,160.0,184.0,188.0,85.0,361.0,196.0,115.0,443.0,65.0,105.0,151.0,600.0,569.0,500.0,318.0,892.0,551.0,417.0,251.0,186.0,262.0,392.0,907.0,923.0,344.0,954.0,314.0,17.0,49.0,37.0,8.0,69.0,11.0,16.0,27.0,7.0,501.0,10.0,17.0,0.16,0.06,0.07,0.97,0.38,0.44,True,False,True,True,False,True,True,True,True,False,False,False,True,False,True,False,True,27.454675747881467,True,False,-0.055988250707107806,-0.022439333719970905,-0.016570619301194505
7,HL/2,21.0,35.0,125.0,5.0,18.0,0.22,854.0,774.0,115.0,80.0,180.0,135.0,123.0,586.0,65.0,152.0,240.0,71.0,326.0,911.0,853.0,638.0,477.0,439.0,974.0,795.0,474.0,356.0,59.0,399.0,726.0,127.0,759.0,704.0,108.0,528.0,4.0,59.0,68.0,13.0,151.0,12.0,44.0,104.0,17.0,171.0,11.0,3.0,0.11,0.4,0.02,0.83,0.15,0.32,True,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,12.258938823593379,True,False,-0.08588701277517269,-0.04071002578850571,-0.03553096522653451
8,low,4.0,273.0,19.0,4.0,15.0,0.27,497.0,907.0,200.0,222.0,579.0,311.0,234.0,797.0,346.0,366.0,395.0,55.0,196.0,421.0,719.0,510.0,414.0,360.0,922.0,722.0,371.0,355.0,129.0,109.0,918.0,810.0,369.0,152.0,454.0,778.0,19.0,52.0,22.0,20.0,863.0,7.0,14.0,35.0,16.0,850.0,20.0,12.0,0.26,0.05,0.62,0.74,0.75,0.86,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,5.1817458261351925,True,False,-0.07906642470845895,-0.014886383003868995,-0.013754659651038757
9,HL/2,5.0,396.0,17.0,3.0,13.0,0.28,1376.0,649.0,231.0,389.0,899.0,5.0,275.0,30.0,214.0,237.0,20.0,306.0,72.0,793.0,995.0,579.0,302.0,266.0,857.0,606.0,405.0,328.0,700.0,832.0,463.0,922.0,279.0,445.0,752.0,910.0,9.0,44.0,31.0,12.0,69.0,3.0,41.0,29.0,17.0,873.0,24.0,5.0,0.16,0.22,0.9,0.8,0.86,0.98,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,True,False,16.74952513681015,True,False,-0.16032916917453727,-0.04721794655099044,-0.045177626213576516
