,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,HL/2,22,102,102,5,17,0.06,1309,698,149,374,690,356,197,76,14,125,507,81,137,485,969,714,330,273,591,541,379,326,50,18,322,103,433,742,268,611,10,55,39,3,263,12,47,75,11,932,4,7,0.1,0.33,0.33,0.72,0.69,0.96,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,47.373285058520096,True,False,-0.1082798705972954,-0.0514073496988663,-0.0471288326640058
1,HLCC/4,18,10,124,2,14,0.25,2149,733,324,383,482,278,58,505,290,245,432,167,154,266,944,540,350,308,980,648,396,293,454,880,264,519,922,262,81,922,11,53,59,18,277,13,20,89,18,883,8,6,0.09,0.22,0.16,0.19,0.58,0.61,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,True,False,-1.0,True,False,0.0814917901244948,0.0453308582925511,0.050161518487877
2,high,18,301,111,1,8,0.08,615,411,134,371,772,350,37,298,248,196,177,346,360,849,544,515,354,333,892,723,495,414,10,427,745,333,418,326,675,532,28,45,78,20,615,9,52,90,11,719,23,10,0.35,0.12,0.81,0.81,0.99,0.9,False,False,True,False,False,True,True,False,True,True,True,True,False,False,True,False,True,-1.0,True,False,-0.1307005065683445,-0.062843605189391,-0.0571189659004735
3,OHLC/4,17,117,128,6,4,0.28,458,427,274,298,991,270,105,689,2,39,519,305,354,763,601,517,434,344,656,526,347,315,715,507,653,479,565,827,328,39,13,42,17,5,142,4,16,16,3,713,10,11,0.1,0.32,1.09,1.17,1.08,1.12,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,-1.0,True,False,0.0284014279935983,0.003382813958076,0.0129739408169295
4,close,18,61,131,6,10,0.26,715,491,352,191,460,18,88,581,132,282,40,58,394,965,771,537,483,417,713,697,341,265,586,640,684,471,206,632,501,545,9,60,85,8,510,16,37,87,8,70,10,5,0.08,0.22,0.42,0.63,0.85,1.0,False,True,True,False,True,True,False,False,False,True,False,True,True,False,True,True,False,24.144081735988102,True,False,-0.1209284675237852,-0.0598928975811393,-0.053105014499273
5,HL/2,16,240,124,5,3,0.08,2140,761,288,306,299,167,49,57,264,15,331,213,47,964,938,656,352,267,726,639,366,276,559,215,291,442,360,288,348,377,17,28,10,5,770,4,22,89,7,527,12,21,0.21,0.01,0.19,0.32,0.54,0.76,True,False,True,False,True,True,False,True,True,False,True,False,True,True,True,False,True,43.214717225877735,True,False,-0.0764297384386815,-0.0335523579993054,-0.0285547364590302
6,OHLC/4,17,151,132,5,4,0.21,1674,856,244,190,966,300,251,163,275,353,133,76,226,864,902,577,453,426,985,794,396,345,810,807,99,719,847,137,611,323,8,9,16,8,518,15,50,59,12,96,18,19,0.38,0.21,0.09,0.1,0.42,0.46,True,True,False,False,True,True,True,False,True,True,False,True,True,False,True,False,True,28.27605645734234,True,False,-0.0168563185150735,-0.0073138749735264,-0.0015300192188531
7,close,15,235,115,5,17,0.34,1096,523,28,275,214,232,67,282,186,200,755,91,175,619,982,836,302,271,803,662,495,471,637,210,78,107,990,703,677,294,27,52,80,6,292,3,21,35,12,470,8,14,0.36,0.38,0.03,0.8,0.22,0.32,False,False,True,True,False,True,False,False,True,False,False,True,True,False,True,True,True,-1.0,True,False,0.0468676605178275,0.0111923150836171,0.018848642470869
8,HL/2,19,391,139,3,13,0.11,509,648,102,398,511,355,29,259,254,296,224,367,10,920,685,526,406,324,631,602,448,266,208,124,991,781,245,633,199,43,18,20,91,7,762,10,48,72,3,505,10,14,0.36,0.09,0.93,0.81,0.92,0.95,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True,True,True,-1.0,True,False,0.0426814259598916,0.0135545038790117,0.0188694634699486
9,high,17,288,121,5,4,0.03,1425,798,276,172,534,166,162,323,200,21,57,198,305,220,903,530,437,360,983,948,290,275,773,701,488,120,793,231,506,534,12,18,27,1,21,9,47,20,14,374,3,8,0.32,0.27,0.43,0.58,0.79,0.89,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,-1.0,True,False,0.0643007089754397,0.0193511343466469,0.029866410130991
