,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,close,5,407,215,2,11,0.1,2977,577,46,29,14,154,139,765,141,93,149,4,124,709,859,574,458,361,842,700,366,276,725,675,941,332,869,963,519,859,15,53,34,7,209,3,4,24,19,3,5,25,0.09,0.18,0.47,0.73,0.67,0.87,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,False,5.194334114804559,True,False,-0.1759537936670409,-0.1790600593998242,-0.1855040229731138
1,HLCC/4,5,335,311,1,10,0.24,2031,375,307,162,321,167,338,291,72,318,557,277,265,835,809,613,451,294,846,824,368,339,330,868,74,270,640,330,430,202,15,32,7,10,151,9,15,86,4,566,21,13,0.24,0.11,0.33,0.39,0.37,0.44,False,True,False,True,False,True,False,False,False,False,True,True,True,True,False,True,True,14.912232752919303,True,False,-0.1815857161150008,-0.1672528744633725,-0.1704716497467169
2,HLC/3,4,418,276,3,10,0.31,1307,425,115,393,388,250,20,150,349,279,960,240,346,254,926,579,416,379,748,742,288,265,807,808,79,45,384,564,477,372,28,37,7,15,718,10,17,21,3,885,6,17,0.2,0.17,0.13,0.23,0.21,0.31,False,True,True,True,False,False,True,False,False,True,True,True,True,False,True,False,False,12.305387168738212,True,False,-0.1909815813027632,-0.1957329691307659,-0.1955415631928382
3,OHLC/4,5,387,116,4,18,0.27,1346,341,102,142,857,131,263,757,9,279,373,92,87,774,773,762,307,262,916,555,494,254,847,897,946,83,772,91,995,745,19,37,75,10,833,2,26,52,19,810,24,17,0.3,0.25,0.05,0.12,0.09,0.17,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,13.865028510382457,True,False,-0.1204720380070315,-0.0958380255956811,-0.1013557539964153
4,HL/2,4,296,168,1,20,0.26,916,771,278,293,233,296,273,726,345,313,543,248,354,502,732,545,481,458,904,539,475,312,256,116,368,231,945,711,599,208,30,42,26,5,88,9,35,36,1,246,5,20,0.3,0.31,0.91,0.99,0.88,0.98,True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,True,False,9.456156081588093,True,False,-0.1375595101541108,-0.1004931664650825,-0.1019768551206759
5,close,4,411,66,1,9,0.37,1315,268,320,12,280,3,350,24,332,178,13,36,187,579,865,623,479,369,935,875,336,303,764,883,679,437,842,699,494,348,30,44,55,9,326,6,34,28,19,695,9,25,0.15,0.08,0.37,0.63,0.58,0.78,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,True,True,6.490299965872454,True,False,-0.0819274071203664,-0.0554868606087245,-0.0604301440246651
6,low,4,302,62,5,6,0.07,464,453,46,280,729,160,347,488,108,381,452,16,399,721,800,753,454,426,972,818,472,352,280,12,661,458,492,954,27,995,10,39,78,19,457,6,48,15,17,473,10,25,0.22,0.16,0.19,0.38,0.24,0.48,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,True,15.151178074468662,True,False,-0.1732561105772804,-0.1453796426534214,-0.1515828548483139
7,high,7,377,292,3,7,0.12,977,895,347,166,683,68,169,102,188,142,54,42,69,452,845,692,487,350,862,799,483,371,554,398,59,346,789,555,64,745,22,46,67,12,267,3,21,25,17,571,2,8,0.29,0.04,0.84,0.89,0.88,0.91,True,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,10.048811627870526,True,False,-0.169742176930002,-0.1636102801281552,-0.166068097240901
8,HL/2,7,327,59,1,4,0.29,1401,335,394,109,528,36,305,833,211,125,948,72,165,739,899,893,475,388,841,530,457,297,362,303,501,524,232,59,819,49,23,42,72,4,43,14,33,39,12,236,13,17,0.4,0.12,0.4,0.51,0.67,0.75,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,33.71111790617608,True,False,-0.1215479757829492,-0.0866772017560196,-0.0933222788139067
9,HLCC/4,5,339,338,1,19,0.01,1854,533,6,382,521,91,18,310,328,35,469,180,15,679,917,600,463,416,889,776,470,305,288,862,370,58,512,780,554,59,5,12,32,17,462,14,48,67,5,67,8,5,0.37,0.29,0.33,0.39,0.37,0.44,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,13.738685323177693,True,False,-0.1701815366924963,-0.1552659206473181,-0.1571483445762113
10,high,7,385,224,4,20,0.17,287,675,31,269,437,295,168,669,175,233,181,379,128,487,896,793,431,322,973,930,473,264,225,513,533,988,333,504,606,545,20,31,101,10,4,12,19,45,17,154,8,12,0.08,0.27,0.33,0.39,0.37,0.44,False,True,True,False,True,False,True,True,True,False,True,False,False,True,True,False,True,9.602858735242709,True,False,-0.1520573466101344,-0.1439720186795732,-0.1453566306830504
