,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,HL/2,2,20,110,3,12,0.1,262,209,49,21,464,214,48,225,31,267,505,159,248,438,979,847,438,315,950,793,410,274,461,828,6,144,14,999,484,814,25,31,24,7,827,16,43,70,11,18,20,6,0.15,0.35,0.71,0.73,0.75,1.16,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,25.59831861970037,True,False,-0.3252298340582149,-0.1348067993905328,-0.141299813608516
1,HL/2,2,19,393,2,20,0.06,2019,794,215,288,649,49,232,382,323,30,848,247,127,818,914,698,366,260,954,750,285,283,549,134,967,350,800,463,739,956,14,45,82,7,706,16,24,102,9,941,15,19,0.38,0.03,0.09,0.11,0.0741802906554793,0.52,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,21.49971210020248,True,False,-0.1253439050274657,-0.0377990906650732,-0.0430569180038403
2,HL/2,2,19,218,3,19,0.08,1290,652,96,195,341,310,33,4,252,15,42,152,209,543,916,733,446,315,857,542,425,385,120,504,121,11,174,159,530,63,13,57,82,14,490,9,27,6,17,875,21,14,0.28,0.14,0.4,0.48,0.48,0.55,False,True,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False,21.69353212834415,True,False,-0.2413073704306604,-0.0819570924752374,-0.0876508976060012
3,low,2,16,150,3,9,0.23,2829,250,26,259,727,236,232,199,301,140,738,214,236,78,977,961,347,251,633,593,383,293,942,771,310,426,427,325,857,440,10,55,24,1,451,16,50,48,6,469,15,7,0.19,0.27,0.0736075455134551,0.2660659687093,0.0597200013748295,0.32,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True,False,23.53487878319697,True,False,-0.2884029298306599,-0.1060487883836886,-0.1126495819719772
4,HL/2,2,19,338,4,7,0.4,2140,464,396,381,978,247,84,731,88,319,91,41,203,182,984,631,329,311,887,590,429,398,508,875,371,865,139,116,899,475,7,55,38,15,362,11,32,86,7,843,10,19,0.2,0.35,0.4,0.48,0.48,0.55,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,True,True,21.18690650071315,True,False,-0.2555318178776601,-0.0803760995513291,-0.0858522595893354
5,open,2,14,300,2,10,0.37,2384,822,224,379,908,158,91,910,392,134,229,376,134,812,865,713,373,358,671,538,396,277,62,450,907,477,246,935,720,705,16,58,84,9,423,12,45,82,3,291,3,8,0.35,0.08,0.1,0.15,0.0949974365797469,0.4,True,False,True,False,True,False,False,False,True,True,False,True,True,False,True,False,False,27.48967635233965,True,False,-0.146975154368652,-0.0400072981209534,-0.0423018848312709
6,HLCC/4,2,19,231,4,8,0.37,1764,204,65,385,490,226,5,592,99,209,271,316,143,49,847,721,282,263,885,525,457,371,427,334,163,497,550,523,193,807,9,14,76,18,969,13,51,59,18,384,17,10,0.27,0.33,0.0878595565237577,0.1,0.0875830874220418,0.35,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,True,27.62323292360405,True,False,-0.2315020585167301,-0.0685954540632109,-0.0746784159554591
7,low,2,17,48,6,10,0.01,1911,989,272,112,149,215,44,484,241,138,721,221,357,231,806,745,491,258,969,610,449,351,213,69,62,860,499,523,38,209,6,55,94,20,817,9,41,45,5,891,20,15,0.16,0.12,0.14,0.17,0.1665792840210749,0.31,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,22.023189238704035,True,False,-0.2620769335216247,-0.0707883914775916,-0.0750109478869163
8,HLC/3,2,19,74,4,12,0.12,1229,603,373,122,891,265,18,249,185,329,730,27,332,817,621,513,377,350,848,758,449,267,381,469,643,675,635,816,743,425,4,11,34,17,249,18,51,63,13,851,1,25,0.22,0.4,0.08,0.99,0.07,1.0,True,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,True,26.82233087179417,True,False,-0.203876777013634,-0.0569210995876838,-0.0625537053557459
9,OHLC/4,2,18,275,5,11,0.37,892,924,190,338,310,207,180,661,175,47,679,346,243,140,916,531,294,269,832,642,356,299,182,375,687,60,586,295,479,47,22,40,57,2,353,18,25,101,7,17,6,18,0.22,0.27,0.03,0.8,0.04,0.84,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True,25.224535244079,True,False,-0.2794589421258653,-0.087689895434599,-0.0927995149994976
