,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
81,close,16.0,0.21193708433307723,0.1942411358094563,3.0,2.0,246.0,4H,0.22481178923919257
29,high,237.0,0.8235138171942111,0.8121556393400426,4.0,35.0,426.0,4H,0.15891094183644697
2,open,52.0,0.272992859194678,0.25256296740495426,4.0,18.0,386.0,4H,0.14692406313706607
52,high,105.0,0.5665257438107678,0.5522326725038945,2.0,65.0,45.0,4H,0.12335715158737934
99,low,137.0,0.5035781276003476,0.48918228230529304,4.0,55.0,214.0,4H,0.1139102861079888
50,high,53.0,0.5444185310069081,0.5316057810964699,4.0,211.0,189.0,4H,0.10500118377130356
93,high,70.0,0.36232831108390917,0.32963906359713774,3.0,182.0,310.0,4H,0.09849412116539895
3,OHLC/4,183.0,0.41460317441958255,0.37285129413210694,3.0,41.0,321.0,4H,0.09752287802565207
16,low,18.0,0.18598489873018742,0.13219090562221913,1.0,25.0,385.0,4H,0.09420039542557579
33,HL/2,56.0,0.4334579207353919,0.4376888112474794,5.0,99.0,272.0,4H,0.09121315119746076
22,HLC/3,153.0,0.45193118943957467,0.38552709665788004,1.0,66.0,374.0,4H,0.0886602744278519
97,open,231.0,0.2154528649185055,0.20077431025681503,6.0,18.0,345.0,4H,0.08845589876300484
57,HLCC/4,7.0,0.15177987325298786,0.1563895160484713,5.0,66.0,221.0,4H,0.07801005888676543
35,HLC/3,12.0,0.27041713911796467,0.17997554878111255,2.0,157.0,284.0,4H,0.0663436951679693
55,HLC/3,17.0,0.1488767773800836,0.1326666068032311,1.0,247.0,343.0,4H,0.04290911171268118
64,open,124.0,0.08273373792770385,0.1191270921127825,5.0,63.0,365.0,4H,0.03895962899205538
75,OHLC/4,11.0,0.031334095097398,0.026485582657203972,1.0,100.0,449.0,4H,0.02024613971584153
88,close,203.0,0.01933661296813438,0.0003063372841843345,6.0,23.0,227.0,4H,0.0032878387092217633
62,open,5.0,-0.028790124251709313,-0.03755864172514883,3.0,8.0,144.0,4H,-0.05172745707029812
24,OHLC/4,9.0,-0.3288800218656154,-0.23402772872245728,1.0,152.0,295.0,4H,-0.08507427677326283
92,HLCC/4,83.0,-0.4668771709819085,-0.5123669664437319,6.0,129.0,147.0,4H,-0.09854045970076782
6,close,175.0,-0.47781028503551015,-0.5068675104202639,5.0,37.0,49.0,4H,-0.09894715536765875
1,open,17.0,-0.9999999999993687,-1.0000000000002776,2.0,249.0,39.0,4H,-0.12599210498947247
56,OHLC/4,34.0,-0.9999999999993695,-1.0000000000002784,3.0,261.0,454.0,4H,-0.12599210498947255
44,low,228.0,-0.9999999999999889,-1.0,5.0,54.0,213.0,4H,-0.12599210498948687
77,HLC/3,119.0,-0.999999999999997,-0.9999999999999939,5.0,148.0,40.0,4H,-0.12599210498948696
68,OHLC/4,70.0,-1.0000000000000007,-0.9999999999999921,1.0,307.0,336.0,4H,-0.12599210498948704
27,open,85.0,-0.999999999999999,-0.9999999999999944,6.0,128.0,115.0,4H,-0.12599210498948707
43,HLC/3,101.0,-1.0,-0.9999999999999972,1.0,165.0,185.0,4H,-0.1259921049894872
39,HLC/3,137.0,-1.0,-0.9999999999999972,1.0,176.0,230.0,4H,-0.1259921049894872
31,HL/2,68.0,-1.000000000000003,-0.9999999999999947,3.0,434.0,130.0,4H,-0.12599210498948724
98,HLC/3,30.0,-0.9999999999999994,-0.9999999999999996,5.0,342.0,239.0,4H,-0.1259921049894873
18,close,19.0,-0.9999999999999982,-1.0000000000000013,6.0,371.0,176.0,4H,-0.12599210498948732
13,open,133.0,-1.0000000000000036,-1.0000000000000007,4.0,167.0,57.0,4H,-0.1259921049894875
14,close,49.0,-1.0000000000000033,-1.0000000000000058,2.0,243.0,312.0,4H,-0.1259921049894877
21,low,87.0,-1.0000000000000016,-1.0000000000000084,1.0,141.0,242.0,4H,-0.12599210498948776
8,low,85.0,-1.0000000000000153,-0.999999999999999,5.0,171.0,295.0,4H,-0.12599210498948793
80,HLC/3,295.0,-1.0000000000000022,-1.0000000000000129,6.0,61.0,158.0,4H,-0.12599210498948796
91,OHLC/4,291.0,-1.0000000000000147,-1.0000000000000147,3.0,46.0,183.0,4H,-0.12599210498948857
66,OHLC/4,76.0,-1.0000000000000207,-1.000000000000012,6.0,251.0,68.0,4H,-0.1259921049894887
95,high,189.0,-1.0000000000000027,-1.0000000000000495,6.0,89.0,353.0,4H,-0.12599210498948954
47,close,76.0,-0.7159534607373221,-0.7438951594911302,5.0,153.0,121.0,4H,-0.1286724308415181
