,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
33,HL/2,130.0,0.675288819936004,0.679697859299753,5.0,115.0,25.0,4H,0.2225045524813218
96,high,253.0,0.7049040144321126,0.7056787560374733,6.0,353.0,18.0,4H,0.1909655469267616
12,HLCC/4,59.0,0.40048894561159565,0.3932635702161862,2.0,188.0,10.0,4H,0.18771883359705946
0,high,76.0,0.5093433639352212,0.5281499625596527,5.0,129.0,34.0,4H,0.18088262924757473
77,HL/2,111.0,0.4199132376360835,0.42441593477743034,2.0,329.0,30.0,4H,0.15768533652504166
75,high,216.0,0.612497981279594,0.6207148153512733,3.0,113.0,129.0,4H,0.11499675568445297
46,HLCC/4,187.0,0.4918239084909465,0.5054581218598089,1.0,394.0,141.0,4H,0.09981250053544384
58,open,186.0,0.4755169599191389,0.4704531902799602,4.0,209.0,128.0,4H,0.09636384938728218
17,open,290.0,0.2878507913219231,0.2966162978261287,2.0,132.0,40.0,4H,0.09486823322113237
1,open,222.0,0.37303147676387627,0.3704005206552962,1.0,365.0,67.0,4H,0.09394120056242593
62,HL/2,173.0,0.29157141110656026,0.30330903476152077,6.0,154.0,133.0,4H,0.08095813818208629
3,HL/2,172.0,0.2239090507950482,0.2213100773597386,1.0,67.0,66.0,4H,0.06674335440433173
27,OHLC/4,291.0,0.250183627223803,0.23898923567951003,6.0,33.0,54.0,4H,0.06207247641274844
34,high,285.0,0.16110399654089388,0.28252831736860495,3.0,290.0,59.0,4H,0.05667733607219172
93,HLCC/4,137.0,0.09153997676748665,0.09633569337868839,6.0,91.0,94.0,4H,0.0375419152779294
14,close,125.0,0.07480457489096874,0.07981342374432712,5.0,227.0,83.0,4H,0.03296490158800325
23,high,160.0,0.03334530075837988,0.07675749907278662,5.0,117.0,41.0,4H,0.03131690971975688
21,HLC/3,237.0,0.03613940946452244,0.02956077270014525,3.0,11.0,38.0,4H,0.02202413926614394
11,HLCC/4,232.0,-0.0747888238631667,-0.08223067737543122,2.0,250.0,43.0,4H,-0.03664264817847109
64,HLCC/4,140.0,-0.11972565323702941,-0.10795477645553661,6.0,394.0,80.0,4H,-0.04264421353651996
65,open,232.0,-0.1166105143636707,-0.11833847630160788,2.0,57.0,88.0,4H,-0.043585126569578046
89,HLCC/4,201.0,-0.13457304881969742,-0.12231634639439694,4.0,344.0,121.0,4H,-0.046223690230898645
19,low,227.0,-0.13407483948171617,-0.13593968856231758,1.0,364.0,106.0,4H,-0.04782059060775182
91,HLC/3,246.0,-0.15063440768178252,-0.13832623385151555,2.0,364.0,79.0,4H,-0.05000268543155973
43,open,160.0,-0.12719510105599105,-0.1274465399650095,4.0,409.0,99.0,4H,-0.050616969556700746
92,open,50.0,-0.12589456141635894,-0.12004927494561696,1.0,476.0,57.0,4H,-0.056604277606215156
22,OHLC/4,113.0,-0.1898077322616887,-0.1950251202584778,2.0,386.0,91.0,4H,-0.0666548078212812
2,HLC/3,44.0,-0.2210980431302924,-0.2252266208816296,6.0,289.0,99.0,4H,-0.06685264943013923
39,open,108.0,-0.2267505122807637,-0.22634321313118086,6.0,98.0,90.0,4H,-0.07432505630681804
49,close,292.0,-0.5872445953447929,-0.5892720305869628,1.0,172.0,111.0,4H,-0.11144611902242615
24,open,30.0,-0.32160197592919454,-0.32114827833362425,5.0,44.0,78.0,4H,-0.11822648100369296
4,open,27.0,-0.9999999999999949,-0.9999999999999891,4.0,487.0,373.0,4H,-0.12599210498948665
67,OHLC/4,157.0,-0.9999999999999986,-0.9999999999999984,4.0,354.0,207.0,4H,-0.1259921049894872
7,high,25.0,-0.9999999999999973,-0.9999999999999998,5.0,479.0,153.0,4H,-0.1259921049894872
79,HLCC/4,74.0,-1.0,-0.9999999999999999,1.0,174.0,207.0,4H,-0.12599210498948732
84,OHLC/4,159.0,-1.0,-1.0,3.0,448.0,148.0,4H,-0.12599210498948732
60,OHLC/4,13.0,-0.9999999999999963,-1.0000000000000056,3.0,342.0,431.0,4H,-0.1259921049894874
99,open,58.0,-1.0000000000000013,-1.000000000000001,3.0,428.0,192.0,4H,-0.12599210498948743
69,open,48.0,-0.8170199570118021,-0.8512207334457285,2.0,368.0,195.0,4H,-0.1406408934067261
