,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
87,high,166.0,0.7442505602916306,0.7215696680838227,1.0,18.0,284.0,4H,0.2468227330065821
100,high,150.0,0.6914661716486259,0.6687199391366517,6.0,21.0,205.0,4H,0.2290847535724131
68,HL/2,236.0,0.7670386656987519,0.7626030186127518,5.0,19.0,165.0,4H,0.2270118828939709
10,high,194.0,0.6796358166400004,0.6644326564304407,2.0,32.0,398.0,4H,0.21497269588881943
101,high,241.0,0.704666001623299,0.691690162523343,1.0,40.0,205.0,4H,0.2136198656967074
41,OHLC/4,107.0,0.671144187030805,0.6381746179009548,2.0,35.0,468.0,4H,0.21121561087701773
102,close,299.0,0.693614372827777,0.6639874928766123,4.0,23.0,345.0,4H,0.2096215813037394
103,HLC/3,268.0,0.424471973945194,0.4262397374782827,6.0,6.0,389.0,4H,0.2083647840733891
104,HLCC/4,115.0,0.5232780159780812,0.4990161384368978,1.0,22.0,412.0,4H,0.1986046648873745
105,close,131.0,0.3324176851295242,0.3390024381075686,5.0,6.0,76.0,4H,0.1971508339163155
106,close,274.0,0.5890303065747914,0.5761961533021884,2.0,30.0,20.0,4H,0.1954535480951612
86,HLC/3,135.0,0.4895854593071174,0.4669050934675273,5.0,45.0,398.0,4H,0.17132731196699238
30,low,128.0,0.7732764274199353,0.6381129393706014,5.0,94.0,191.0,4H,0.14359121080368367
107,OHLC/4,154.0,0.5228227943587174,0.4506922461449655,5.0,66.0,289.0,4H,0.1414073386739069
108,HLC/3,5.0,0.8006376594467736,0.8417292293212025,5.0,230.0,307.0,4H,0.1391733682076589
45,HL/2,241.0,0.43947364558183893,0.3725302418873593,6.0,49.0,213.0,4H,0.13784936963223934
8,HLC/3,262.0,0.8171455265581632,0.7960318022524356,4.0,171.0,324.0,4H,0.13754029108765953
32,low,82.0,0.3353203922615577,0.28868132174965755,5.0,25.0,2.0,4H,0.1360245609699834
92,low,9.0,0.7781906737888151,0.7759570044924539,4.0,192.0,483.0,4H,0.1341717930384183
109,OHLC/4,81.0,0.6629611976068441,0.6025683216357489,5.0,214.0,86.0,4H,0.1338284821372171
110,close,191.0,0.7593799189094891,0.7483569802444878,6.0,211.0,14.0,4H,0.1314849274920722
111,HLC/3,57.0,0.2001013254025926,0.1975124245884205,4.0,8.0,165.0,4H,0.1303199198442574
96,open,224.0,0.7671059012094661,0.7100513104351563,6.0,221.0,91.0,4H,0.12963880410934805
112,HL/2,36.0,0.5963445963002305,0.6079471677476743,3.0,214.0,28.0,4H,0.1295700996410574
113,HLC/3,66.0,0.2236864591536889,0.2131192371974944,3.0,18.0,234.0,4H,0.1280083623287258
7,close,60.0,0.6002114827003924,0.5774355865859438,1.0,159.0,223.0,4H,0.1276398735119621
114,close,184.0,0.7142498163760166,0.7184681985091644,4.0,184.0,101.0,4H,0.1270883943573843
43,OHLC/4,133.0,0.7127395803989823,0.6986352307671051,2.0,217.0,281.0,4H,0.12581925720862647
11,OHLC/4,12.0,0.5203531169284056,0.47069162083557614,5.0,117.0,167.0,4H,0.12513386865931173
48,open,178.0,0.7202168050560507,0.6597201828247234,1.0,223.0,280.0,4H,0.12386853586288889
77,HLCC/4,76.0,0.5001960800226557,0.40519502570565946,2.0,197.0,148.0,4H,0.11748023106124814
115,open,104.0,0.2606194908099908,0.2390581062127771,5.0,24.0,378.0,4H,0.1143511498904594
116,HLCC/4,79.0,0.4835885709172484,0.4140198305650265,4.0,207.0,118.0,4H,0.1063039675762779
57,HLCC/4,92.0,0.3047648634383887,0.29494245123645435,3.0,80.0,253.0,4H,0.10255601619434647
117,high,17.0,0.5222018492094144,0.5126734214939241,3.0,247.0,43.0,4H,0.1023088178513618
118,HLC/3,66.0,0.2524510036072568,0.1923417656597381,1.0,52.0,176.0,4H,0.0956109723746168
39,HLCC/4,36.0,0.38801369724476725,0.36034658907580513,3.0,147.0,451.0,4H,0.09431329274894076
54,high,14.0,0.43335798726046104,0.4252434148490652,4.0,198.0,376.0,4H,0.09033335311990548
29,low,16.0,0.48020583184096427,0.36204470387127535,3.0,192.0,140.0,4H,0.08859649482200493
119,HLC/3,100.0,0.4541765221767669,0.3162919444655222,4.0,178.0,256.0,4H,0.0831363463392874
120,OHLC/4,91.0,0.4219750265346768,0.2804122607820773,4.0,209.0,477.0,4H,0.077931777116674
22,OHLC/4,86.0,0.404256167730449,0.2569470278602509,2.0,148.0,157.0,4H,0.07461968559363792
121,HLCC/4,90.0,0.3761960643697549,0.267450223005813,4.0,183.0,309.0,4H,0.0738310539056985
53,close,17.0,0.21445476012743778,0.1611241007899703,4.0,120.0,102.0,4H,0.07017224952836675
24,high,22.0,0.2349141519283737,0.21264342638398903,1.0,166.0,283.0,4H,0.06692229061510724
40,HL/2,285.0,0.2599252473085454,0.26152244528765495,6.0,193.0,117.0,4H,0.06478470345519861
122,OHLC/4,47.0,0.211773938516065,0.1914693954586032,6.0,148.0,361.0,4H,0.0545352477344316
51,high,127.0,0.1008791506664397,0.08006673836802478,2.0,70.0,388.0,4H,0.04593512827352541
123,close,108.0,0.0604266997279522,0.0248892559502121,3.0,54.0,220.0,4H,0.0276135944111717
46,OHLC/4,56.0,0.08247038145599643,0.06293733290265457,6.0,125.0,346.0,4H,0.027484559225766043
124,close,107.0,0.0585818092638272,0.0230074830771636,2.0,57.0,185.0,4H,0.0266227742252407
125,HLCC/4,31.0,0.0896172990081909,0.0010313453720265,3.0,99.0,435.0,4H,0.009740890429356
126,close,11.0,-0.0041393267852997,-0.0518448997213226,1.0,46.0,131.0,4H,-0.0177365725702093
49,HLC/3,8.0,-0.021469980803309786,-0.040349153802143,4.0,41.0,63.0,4H,-0.029620731583208992
76,close,40.0,-0.08509853183801057,-0.072717737847999,3.0,76.0,376.0,4H,-0.04626232657795353
20,OHLC/4,176.0,-0.11697161122544789,-0.14716218364933847,1.0,91.0,185.0,4H,-0.05164031636025957
67,HL/2,184.0,-0.1257597897788058,-0.1559183116803245,3.0,88.0,354.0,4H,-0.053931558558740766
9,HLC/3,218.0,-0.13468267859929764,-0.1624729918817834,2.0,85.0,425.0,4H,-0.05594066653326949
91,OHLC/4,157.0,-0.20587544268853877,-0.21558703438773902,1.0,86.0,486.0,4H,-0.056203374519276324
71,OHLC/4,253.0,-0.1701917386677987,-0.18413271012878962,4.0,76.0,186.0,4H,-0.057289305425852526
80,open,3.0,-0.23209891008634584,-0.2627067018917328,2.0,112.0,111.0,4H,-0.07152071286644263
21,low,223.0,-0.19332050861689218,-0.24609266196041527,3.0,87.0,64.0,4H,-0.07246954367940114
82,close,248.0,-0.18330467875484865,-0.19420556899756408,3.0,49.0,483.0,4H,-0.0792844020450402
13,open,30.0,-0.19055389145300758,-0.1976231914633392,1.0,75.0,255.0,4H,-0.08446145743126336
127,HLCC/4,228.0,-0.3861018971578943,-0.4267876117739356,6.0,164.0,228.0,4H,-0.0870277810762959
128,open,5.0,-0.2901305620130911,-0.307825025203096,1.0,168.0,131.0,4H,-0.0893982731721792
129,low,161.0,-0.5053802524005434,-0.4066267904766515,3.0,202.0,267.0,4H,-0.0936752259477917
89,HLCC/4,204.0,-0.46396079957911684,-0.49905744679698094,1.0,119.0,185.0,4H,-0.09747590439259603
42,low,169.0,-0.5567960186423541,-0.45991202329821607,5.0,148.0,354.0,4H,-0.10080381267311572
