,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
100,HLCC/4,81.0,0.4136944663373968,0.4248909797241305,1.0,123.0,2.0,4H,0.3174506375777562
101,close,225.0,0.8131166151575352,0.817510280331277,4.0,305.0,8.0,4H,0.2770758529467206
102,open,208.0,0.4976201767723329,0.502708288645998,4.0,403.0,4.0,4H,0.2668962917751435
103,HLC/3,116.0,0.3051900016160603,0.2881058738570462,6.0,25.0,12.0,4H,0.1638189505765455
43,OHLC/4,103.0,0.2761492867295909,0.27028978482101085,1.0,8.0,12.0,4H,0.161084540199522
104,low,172.0,0.8241961183254111,0.826141638538132,6.0,240.0,56.0,4H,0.1598620737146838
105,OHLC/4,269.0,0.392022297135599,0.3425025062030383,4.0,11.0,13.0,4H,0.1477050196901486
7,close,163.0,0.5705960748976984,0.5398854568448662,3.0,376.0,71.0,4H,0.14550462663968836
57,HL/2,138.0,0.5047907344753891,0.47013509587138647,4.0,5.0,45.0,4H,0.14174413496023075
106,HL/2,174.0,0.6217043359215021,0.6386410142261318,3.0,369.0,77.0,4H,0.1335561785910158
84,HLC/3,103.0,0.5009249748630011,0.46131142392740054,4.0,91.0,55.0,4H,0.1322073595468263
107,high,77.0,0.4096068769241444,0.3930784714141999,1.0,162.0,56.0,4H,0.1245496700409307
10,OHLC/4,84.0,0.4377574483082835,0.39319887625115196,1.0,116.0,72.0,4H,0.11984371709505325
108,high,149.0,0.5046688277126424,0.5497668203192694,5.0,278.0,101.0,4H,0.1185164821348695
60,high,92.0,0.46063257648068734,0.48754476899657156,1.0,481.0,110.0,4H,0.11045197010540518
109,open,180.0,0.4301328230374982,0.4242518045631658,4.0,309.0,125.0,4H,0.103068473596138
77,open,70.0,0.32879273560275607,0.26415335510702853,4.0,194.0,73.0,4H,0.09540975521090926
110,open,10.0,0.4225452612899982,0.4105793813755231,5.0,359.0,222.0,4H,0.0885340070796713
73,open,253.0,0.18137041092655862,0.1512287212020852,5.0,393.0,22.0,4H,0.0790359007660357
19,high,23.0,0.22506224434144786,0.21485964694618026,3.0,89.0,141.0,4H,0.07286447331529462
111,OHLC/4,29.0,-0.0003111135697582,-0.0008498970484633,2.0,187.0,9.0,4H,-0.0029791686669314
6,high,9.0,-0.20122071837297076,-0.10818696160406271,3.0,29.0,124.0,4H,-0.05584434507346008
65,HLC/3,115.0,-0.10081231767001755,-0.12472756055817169,4.0,40.0,47.0,4H,-0.058595644676554995
17,HL/2,114.0,-0.10374339391908181,-0.14559406170377268,5.0,65.0,36.0,4H,-0.06228852288045665
112,low,257.0,-0.137555016568401,-0.1589437610388597,1.0,115.0,21.0,4H,-0.0673931855065137
33,OHLC/4,206.0,-0.13778860074473576,-0.20424973002751914,1.0,81.0,23.0,4H,-0.07971666022174012
113,HLC/3,117.0,-0.1634785315178784,-0.1833853020646437,4.0,412.0,21.0,4H,-0.0965270060170007
8,HLC/3,188.0,-0.5466480092175785,-0.4463694334842653,1.0,23.0,255.0,4H,-0.09919445671604443
95,HLCC/4,204.0,-0.2169186002416647,-0.28416986511130166,4.0,487.0,26.0,4H,-0.09954014423264462
61,low,186.0,-0.5381337739147992,-0.49591508169550796,4.0,21.0,254.0,4H,-0.10220038199951807
87,low,182.0,-0.5823034942527239,-0.5875287075394479,3.0,122.0,137.0,4H,-0.11102296625932355
69,HLC/3,181.0,-0.6225715563290964,-0.5632443785666681,5.0,122.0,148.0,4H,-0.11193916012850852
114,open,164.0,-0.5927666144191902,-0.6091494908056206,6.0,206.0,196.0,4H,-0.1130374983327067
21,close,184.0,-0.6225331101936714,-0.5915497208625431,6.0,456.0,199.0,4H,-0.11378138956447713
51,open,148.0,-0.6120284911889095,-0.6281093303754487,2.0,55.0,267.0,4H,-0.11542209655411623
115,low,172.0,-0.6242781702098356,-0.6240084098695968,2.0,226.0,141.0,4H,-0.1159336549184177
116,open,139.0,-0.6201831551954464,-0.6361315404918538,4.0,347.0,390.0,4H,-0.1164239408152408
117,open,179.0,-0.607116551841771,-0.6609065781291045,1.0,190.0,250.0,4H,-0.1170821565129302
93,open,118.0,-0.6343670214440074,-0.6500782530560011,4.0,170.0,144.0,4H,-0.11815589899468099
81,low,168.0,-0.6484819199919889,-0.6482190539017683,3.0,326.0,382.0,4H,-0.11891223777949714
