,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,63,890,34,sma,StochAstic_k,80,138,5,3,0.3,2979,441,66,48,307,235,269,868,143,399,177,171,185,642,892,727,354,331,949,559,437,261,994,978,165,598,887,136,559,749,19,31,36,8,663,18,24,43,15,23,12,19,0.01,0.16,0.52,0.87,0.99,0.86,True,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True,12.881128400909192,True,False,-0.085217009055656,-0.0323752297475178,-0.03341719354474
1,61,858,26,wma,StochAstic_k,93,118,5,10,0.31,1632,299,47,88,162,83,204,731,26,397,374,358,22,405,851,669,307,261,792,663,292,281,446,158,424,211,854,435,715,81,25,60,67,11,198,16,45,9,11,233,22,19,0.09,0.36,0.48,0.66,0.77,0.91,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,True,True,37.54859551608736,True,False,-0.0256414885517419,-0.0059760076466171,-0.00548852234723
2,62,937,31,ema,StochAstic_k,77,122,5,12,0.14,599,433,381,274,215,36,31,214,164,387,321,150,43,820,798,616,483,366,814,670,380,282,582,849,453,58,723,182,927,530,14,29,98,9,22,17,47,59,14,989,13,18,0.38,0.17,0.89,0.83,1.0,1.0,False,False,True,False,True,False,True,True,False,True,True,False,True,True,False,True,False,24.42774858880096,True,False,-0.0822187948010968,-0.0304554933231599,-0.0311422555785298
3,49,733,26,wma,StochAstic_k,75,99,5,2,0.08,2923,251,373,139,434,344,57,799,42,366,154,87,33,867,829,698,379,365,861,650,486,294,586,201,489,806,282,947,810,48,27,37,20,11,57,5,11,70,13,972,10,8,0.29,0.15,0.5,0.71,0.7,0.85,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,True,26.75874130846605,True,False,-0.0652852069335427,-0.0208732445124938,-0.0209602896035192
4,55,744,33,sma,StochAstic_k,95,212,5,3,0.11,2863,996,14,326,425,300,114,155,251,139,751,65,131,598,781,766,296,255,783,506,317,259,104,188,968,235,702,158,790,812,15,22,59,2,103,6,22,9,2,303,10,18,0.27,0.18,0.42,0.75,0.7,0.94,False,True,False,True,True,True,True,False,False,False,True,True,False,False,True,False,False,37.91654382282498,True,False,-0.0476174765923093,-0.0145697599641772,-0.0149404974448403
5,65,1013,33,ema,StochAstic_k,69,364,5,5,0.03,1631,206,379,32,142,6,251,486,4,353,970,60,147,64,753,545,399,310,537,515,451,402,36,378,58,234,441,470,345,639,16,57,78,1,963,7,41,77,4,875,4,22,0.29,0.38,0.44,0.78,0.7,0.96,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,35.43837902770358,True,False,-0.0917234097813096,-0.0343726325037016,-0.0355230870559976
6,59,755,31,sma,StochAstic_k,77,212,5,11,0.23,2729,934,130,392,706,21,61,849,143,394,571,274,192,494,898,540,486,283,947,588,355,306,713,868,512,2,773,645,533,314,12,47,55,15,210,8,44,4,12,920,20,23,0.14,0.01,0.28,0.29,0.53,0.55,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,31.900651584702423,True,False,-0.0721844802989908,-0.0251538480112736,-0.0247565504895781
7,59,757,31,wma,StochAstic_k,71,243,5,2,0.38,2755,548,59,377,221,130,280,577,371,218,935,379,20,896,889,736,495,374,839,789,336,260,729,867,230,409,906,584,41,858,3,33,67,6,473,10,16,36,13,410,20,14,0.38,0.33,0.43,0.91,0.71,1.03,True,False,True,True,False,True,False,False,False,False,True,True,True,True,False,True,True,34.77339557401864,True,False,-0.0885327361321474,-0.0332481268275726,-0.0327132579425263
8,56,938,36,wma,StochAstic_k,74,294,5,12,0.15,1474,978,260,282,357,298,307,195,187,370,216,238,79,366,910,583,424,268,548,514,487,318,435,750,171,572,457,267,250,528,12,56,86,6,229,11,21,64,9,639,17,18,0.01,0.34,0.19,0.39,0.43,0.66,True,True,True,False,True,False,True,False,True,False,False,True,True,True,False,True,False,27.83069843882272,True,False,-0.0625053666284694,-0.0196255313601434,-0.0205332583953464
9,55,978,25,wma,StochAstic_k,75,285,5,3,0.12,2404,753,102,314,774,322,217,155,246,365,224,55,183,572,999,778,463,364,749,692,494,420,789,872,626,660,677,724,378,203,18,35,56,17,39,6,47,5,14,324,1,12,0.14,0.07,0.96,0.94,0.89,0.97,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,17.99062024474184,True,False,-0.0718781374864516,-0.0241059152149605,-0.0242219835539327
10,65,864,30,sma,StochAstic_k,65,146,5,2,0.2,970,615,265,276,371,185,146,682,66,99,976,48,140,728,799,794,493,471,526,518,500,360,690,685,982,825,189,281,548,606,28,49,48,3,718,15,16,88,11,550,6,8,0.17,0.23,0.41,0.86,0.68,0.96,False,False,True,False,False,True,True,False,False,True,True,True,False,False,True,False,False,32.52729607115707,True,False,-0.0858787909061384,-0.0309203403093583,-0.0303016866590419
11,50,708,30,sma,StochAstic_k,72,264,5,15,0.01,1343,661,42,179,654,8,168,305,169,246,764,159,152,825,867,725,468,345,811,544,454,433,751,324,104,108,468,72,972,227,2,30,90,17,933,14,31,72,1,822,20,8,0.26,0.26,0.22,0.32,0.45,0.57,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,True,False,24.309515493930583,True,False,-0.1075748553900441,-0.0437168644953219,-0.0434089686871265
12,50,866,27,wma,StochAstic_k,66,314,4,15,0.02,850,719,343,378,464,67,90,302,44,76,552,347,73,998,929,506,496,311,972,841,408,272,664,798,935,67,988,219,90,996,15,41,17,1,417,7,10,8,14,601,25,20,0.25,0.1,0.51,0.77,0.68,0.86,True,False,True,True,False,True,False,False,True,True,False,False,False,False,True,True,False,27.235958590926963,True,False,-0.0857694687722891,-0.0322344855837968,-0.0328421179883613
13,66,783,34,wma,StochAstic_k,69,339,5,3,0.04,1261,960,171,251,241,298,190,256,264,295,135,24,174,444,760,753,399,284,815,785,346,326,649,280,528,253,317,737,905,118,25,48,12,3,399,6,36,8,14,659,11,6,0.26,0.15,0.22,0.32,0.45,0.57,True,False,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False,28.513447768873977,True,False,-0.09368255872111324,-0.03552543200029614,-0.037089610659715194
14,61,761,35,wma,StochAstic_k,74,392,5,6,0.36,1853,314,397,310,158,59,188,439,255,66,878,46,280,825,977,749,480,331,733,580,402,330,538,72,307,408,534,564,944,691,21,40,100,1,332,3,46,75,17,432,1,18,0.32,0.03,0.38,0.88,0.63,0.97,False,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,35.72158131696604,True,False,-0.10114331166915509,-0.04080784951032702,-0.04156597423608682
15,62,764,31,ema,StochAstic_k,69,312,4,7,0.31,1922,468,245,209,117,253,335,238,48,73,27,49,370,293,879,800,429,342,937,690,489,417,592,892,461,883,422,819,217,747,13,57,102,13,949,8,30,56,3,364,9,3,0.16,0.2,0.46,0.81,0.74,1.01,False,False,False,True,False,False,True,True,True,True,False,True,True,False,True,False,True,37.62026468800364,True,False,-0.05658475416870733,-0.018472711039756857,-0.01829796842433527
16,57,703,26,ema,StochAstic_k,70,278,5,5,0.09,829,799,280,196,554,33,386,131,185,176,753,145,126,905,902,898,322,294,833,729,497,465,589,902,183,541,948,982,901,813,7,39,39,1,427,8,45,65,3,895,17,12,0.07,0.4,0.48,0.76,0.71,0.95,True,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,32.18884764109965,True,False,-0.11797537713857224,-0.048979043068632204,-0.04886970433580541
17,44,875,33,wma,StochAstic_k,71,223,5,2,0.18,2210,753,166,337,216,61,25,815,175,2,90,34,370,104,891,734,363,330,757,559,488,436,170,433,491,126,641,324,896,573,7,42,8,9,531,18,34,24,14,858,5,8,0.22,0.19,0.61,0.64,0.76,0.78,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,28.25300293925283,True,False,-0.07804073989090367,-0.026141821106962677,-0.027381687956117427
