,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,25.0,323.0,2.0,sma,StochAstic_k,62.0,39.0,5.0,10.0,0.18,2528.0,373.0,68.0,187.0,201.0,64.0,196.0,174.0,130.0,260.0,317.0,180.0,330.0,423.0,846.0,823.0,484.0,290.0,932.0,535.0,313.0,278.0,346.0,95.0,127.0,547.0,911.0,359.0,523.0,118.0,17.0,20.0,59.0,6.0,489.0,8.0,50.0,19.0,5.0,627.0,15.0,9.0,0.3,0.13,0.64,0.65,0.77,0.78,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.569800170051034,1.0,0.0,-0.1734607414538446,-0.0609961297966623,-0.0612060205835291
1,20.0,291.0,2.0,ema,StochAstic_k,22.0,44.0,2.0,12.0,0.13,660.0,638.0,200.0,96.0,883.0,155.0,2.0,276.0,267.0,25.0,131.0,182.0,181.0,641.0,903.0,530.0,401.0,384.0,821.0,599.0,414.0,277.0,527.0,288.0,377.0,810.0,893.0,630.0,781.0,256.0,2.0,20.0,97.0,18.0,387.0,2.0,23.0,46.0,18.0,237.0,5.0,4.0,0.34,0.08,0.54,0.75,0.66,0.87,True,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,5.570927562932886,True,False,-0.0956974646591095,-0.0355815374113674,-0.0365440511731544
2,27.0,300.0,2.0,wma,StochAstic_k,103.0,50.0,5.0,20.0,0.36,350.0,823.0,129.0,48.0,587.0,165.0,307.0,373.0,281.0,364.0,218.0,359.0,273.0,922.0,721.0,508.0,483.0,393.0,808.0,680.0,347.0,285.0,933.0,39.0,124.0,545.0,139.0,176.0,81.0,302.0,6.0,16.0,80.0,16.0,385.0,10.0,48.0,64.0,14.0,513.0,16.0,21.0,0.07,0.19,0.32,0.4,0.43,0.53,False,True,True,False,False,False,False,True,True,True,True,False,False,False,True,False,True,25.00601186064461,True,False,-0.0341034046606665,-0.0055982866064159,-0.0060867449758216
3,23.0,287.0,3.0,wma,StochAstic_k,336.0,40.0,6.0,14.0,0.3,1949.0,894.0,15.0,148.0,136.0,8.0,124.0,401.0,339.0,386.0,664.0,283.0,167.0,843.0,947.0,711.0,446.0,279.0,551.0,536.0,459.0,418.0,872.0,81.0,910.0,381.0,412.0,391.0,366.0,187.0,3.0,9.0,84.0,3.0,336.0,12.0,51.0,7.0,10.0,479.0,11.0,22.0,0.18,0.14,0.43,0.82,0.6,0.98,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,15.361023434622656,True,False,-0.1023583146446122,-0.0254213840930354,-0.0267001130438281
4,29.0,368.0,3.0,sma,StochAstic_d,290.0,52.0,2.0,13.0,0.06,2767.0,254.0,365.0,376.0,614.0,300.0,171.0,947.0,262.0,116.0,999.0,352.0,250.0,174.0,950.0,812.0,353.0,309.0,680.0,576.0,337.0,281.0,347.0,595.0,816.0,304.0,758.0,70.0,678.0,116.0,5.0,25.0,22.0,13.0,900.0,7.0,48.0,104.0,9.0,259.0,17.0,8.0,0.05,0.05,0.53,0.66,0.77,0.88,True,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,5.128657870326464,True,False,-0.0258572369299215,-0.0102149607659535,-0.0084621290875397
5,30.0,347.0,3.0,wma,StochAstic_d,218.0,43.0,6.0,15.0,0.18,1017.0,818.0,78.0,208.0,874.0,316.0,30.0,155.0,136.0,93.0,467.0,370.0,290.0,350.0,801.0,690.0,458.0,375.0,847.0,737.0,500.0,377.0,147.0,914.0,754.0,329.0,222.0,361.0,784.0,633.0,27.0,60.0,50.0,5.0,515.0,16.0,21.0,5.0,20.0,263.0,21.0,11.0,0.33,0.3,0.5,0.74,0.72,0.95,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,28.079424840373257,True,False,-0.0612562749058077,-0.0187214425594549,-0.0194265357347053
6,20.0,334.0,3.0,sma,StochAstic_k,283.0,47.0,2.0,17.0,0.38,2401.0,885.0,36.0,377.0,567.0,137.0,380.0,219.0,322.0,34.0,729.0,315.0,104.0,125.0,675.0,549.0,387.0,365.0,787.0,657.0,478.0,413.0,309.0,861.0,295.0,790.0,611.0,194.0,836.0,986.0,30.0,34.0,43.0,16.0,890.0,6.0,26.0,68.0,13.0,721.0,17.0,21.0,0.17,0.15,0.89,0.89,0.83,0.94,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,True,False,7.109879983963247,True,False,-0.0873859548735709,-0.0319629554549633,-0.0336733472905811
7,27.0,382.0,3.0,ema,StochAstic_k,332.0,58.0,5.0,15.0,0.16,437.0,873.0,239.0,248.0,127.0,86.0,133.0,820.0,215.0,330.0,518.0,203.0,276.0,681.0,627.0,536.0,453.0,364.0,699.0,553.0,456.0,416.0,706.0,526.0,981.0,315.0,161.0,925.0,194.0,291.0,2.0,23.0,9.0,20.0,221.0,4.0,18.0,18.0,1.0,195.0,10.0,1.0,0.01,0.06,0.42,0.83,0.6,0.99,False,True,True,True,True,False,True,False,True,True,False,False,True,False,True,False,True,5.569800170051034,True,False,-0.1734607414538446,-0.0609961297966623,-0.0612060205835291
8,20.0,318.0,3.0,wma,StochAstic_k,116.0,41.0,4.0,18.0,0.13,542.0,622.0,345.0,181.0,6.0,85.0,205.0,311.0,154.0,394.0,415.0,371.0,236.0,526.0,772.0,670.0,461.0,259.0,828.0,607.0,408.0,299.0,262.0,198.0,951.0,326.0,982.0,497.0,593.0,523.0,15.0,40.0,24.0,18.0,706.0,3.0,24.0,5.0,14.0,452.0,17.0,9.0,0.39,0.01,0.81,0.98,0.89,0.83,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,5.451167894627286,True,False,-0.0852245464637502,-0.0215109148931297,-0.0225519728395191
9,29.0,350.0,2.0,wma,StochAstic_k,340.0,58.0,4.0,20.0,0.22,2691.0,964.0,219.0,168.0,160.0,241.0,184.0,791.0,133.0,142.0,28.0,385.0,170.0,41.0,808.0,590.0,443.0,415.0,788.0,679.0,418.0,409.0,783.0,646.0,829.0,589.0,955.0,167.0,245.0,626.0,9.0,25.0,56.0,4.0,59.0,8.0,48.0,49.0,8.0,964.0,1.0,17.0,0.12,0.25,0.46,0.57,0.55,0.64,True,True,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,9.742619612151865,True,False,-0.096351587658949,-0.0305804055427478,-0.0322142138019976
