,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,63,890,34,sma,StochAstic_k,80,138,5,3,0.3,2979,441,66,48,307,235,269,868,143,399,177,171,185,642,892,727,354,331,949,559,437,261,994,978,165,598,887,136,559,749,19,31,36,8,663,18,24,43,15,23,12,19,0.01,0.16,0.52,0.87,0.99,0.86,True,False,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True,0,True,True,-0.1605894636606638,-0.0765863526928186,-0.0776945428921308
1,57,933,30,wma,StochAstic_k,93,209,6,6,0.21,851,684,176,283,165,174,265,698,309,219,750,275,149,863,1000,532,328,294,973,570,370,340,959,931,453,103,290,856,176,453,26,40,73,9,829,9,15,66,19,738,6,3,0.3,0.03,1.02,1.09,1.0,1.02,False,True,True,False,False,True,True,False,True,False,False,True,False,False,True,True,True,0,False,True,0.0,0.0,0.0
2,56,878,26,ema,StochAstic_d,82,201,6,17,0.06,235,828,311,64,49,306,261,502,271,132,245,52,358,507,767,591,447,310,749,645,411,269,908,879,10,735,949,133,366,134,10,46,35,5,613,5,11,94,9,2,13,5,0.28,0.17,1.18,1.06,1.16,1.08,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,0,False,True,0.0,0.0,0.0
3,55,721,28,ema,StochAstic_d,74,168,6,14,0.12,744,266,139,72,141,249,389,715,84,48,998,74,228,417,893,786,384,311,816,682,460,372,431,474,115,503,80,591,157,13,20,35,22,19,244,11,42,92,12,531,4,5,0.09,0.2,1.2,1.1,1.11,1.07,True,True,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,0,False,True,0.0,0.0,0.0
4,49,872,36,sma,StochAstic_d,74,191,6,8,0.14,625,203,285,262,438,232,334,977,163,41,269,10,125,947,705,524,429,355,789,754,299,263,111,800,31,958,780,26,48,559,11,51,96,9,185,7,42,74,7,935,17,19,0.22,0.07,1.12,1.02,1.0,1.12,False,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,True,0,False,True,0.0,0.0,0.0
5,56,806,31,sma,StochAstic_k,80,311,6,11,0.1,1557,281,190,118,920,145,122,514,218,195,708,213,294,432,691,505,472,412,701,534,457,269,525,669,425,736,999,335,233,393,6,39,17,12,273,6,25,95,9,87,22,24,0.1,0.33,1.06,1.13,1.02,1.13,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,0,False,True,0.0,0.0,0.0
6,59,755,31,wma,StochAstic_k,77,212,6,11,0.25,2729,934,130,392,706,21,61,849,143,394,571,274,192,494,898,540,486,283,947,588,355,306,713,868,512,2,773,645,533,314,12,47,55,15,210,8,44,4,12,920,20,23,0.3,0.31,1.19,1.03,1.2,1.15,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,0,False,True,0.0,0.0,0.0
7,48,910,35,ema,StochAstic_k,78,342,6,2,0.26,1323,388,54,203,54,86,195,122,138,213,98,335,279,555,679,529,493,262,813,783,344,308,541,202,505,787,344,901,730,129,25,52,4,11,816,18,20,99,14,293,12,17,0.09,0.03,1.2,1.01,1.04,1.16,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,0,False,True,0.0,0.0,0.0
8,56,938,36,sma,StochAstic_k,74,294,6,12,0.05,1474,978,260,282,357,298,307,195,187,370,216,238,79,366,910,583,424,268,548,514,487,318,435,750,171,572,457,267,250,528,12,56,86,6,229,11,21,64,9,639,17,18,0.31,0.39,1.02,1.17,1.03,1.2,True,True,True,False,True,False,True,False,True,False,False,True,True,True,False,True,False,0,False,True,0.0,0.0,0.0
9,51,747,37,wma,StochAstic_k,81,348,6,17,0.38,1019,868,394,355,425,70,299,951,230,360,431,329,200,983,868,503,424,377,998,983,427,356,924,600,566,497,772,462,586,780,20,24,18,19,385,10,14,10,18,281,11,23,0.18,0.36,1.13,1.2,1.12,1.14,True,True,False,False,True,True,False,True,True,True,True,True,False,True,False,True,False,0,False,True,0.0,0.0,0.0
