,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
0,594,270,16,ema,StochAstic_d,344,327,5,5,0.07,2462,227,143,154,652,42,81,694,329,259,731,92,11,158,617,561,489,276,831,652,401,332,877,375,392,955,48,286,51,773,16,31,75,8,159,7,42,98,11,431,10,5,0.29,0.25,0.37,0.72,0.69,0.93,False,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False,True,11.881100247373396,True,False,-0.0886814330786593,-0.0782055180178638,-0.0782268530381668
1,806,263,16,ema,StochAstic_k,421,31,5,11,0.01,2536,438,384,342,883,253,75,638,68,240,263,294,86,835,781,681,482,440,693,636,387,323,489,799,68,227,645,107,259,947,4,24,97,10,44,12,16,65,20,43,21,20,0.04,0.1,0.18,0.21,0.6,0.64,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False,35.03892855142952,True,False,-0.0785804771520927,-0.0684375026570804,-0.0681736414340031
2,833,313,17,wma,StochAstic_k,384,2,5,14,0.32,2667,210,127,241,942,283,326,246,104,156,386,230,303,127,984,877,335,290,785,672,442,260,749,835,16,181,610,588,387,216,10,18,43,3,557,7,18,25,7,1000,21,15,0.38,0.07,0.24,0.53,0.91,1.09,False,True,True,True,False,True,True,False,True,True,False,False,False,True,False,True,False,30.95131742758176,True,False,-0.1371622437961731,-0.1675322438622513,-0.1674239216248839
3,776,257,15,wma,StochAstic_k,415,269,1,17,0.32,1831,972,200,3,821,65,266,382,119,162,827,392,36,586,879,537,374,311,788,758,322,318,483,693,339,155,214,721,299,387,29,41,39,13,335,5,32,11,1,664,12,12,0.26,0.03,0.26,0.55,0.82,0.98,False,False,True,False,False,False,True,False,True,True,True,True,True,False,True,False,True,30.48984135570852,True,False,-0.1096528574862687,-0.1126591428589877,-0.1125278649482383
4,635,311,12,sma,StochAstic_d,482,279,2,19,0.03,1267,983,212,344,796,8,50,606,357,269,607,100,390,607,976,646,341,280,993,955,389,266,122,84,51,922,113,681,372,489,16,30,89,17,982,15,22,7,20,53,6,23,0.04,0.1,0.54,0.59,0.77,0.81,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,13.8862297975971,True,False,-0.0916929411674141,-0.0875245840979014,-0.0880800707381302
5,642,312,12,ema,StochAstic_d,356,321,5,19,0.27,1466,862,348,397,962,40,188,357,277,49,235,241,171,517,651,587,435,322,952,789,438,424,568,294,977,355,122,704,814,43,11,51,78,17,865,11,32,93,2,400,16,10,0.24,0.08,0.29,0.31,0.54,0.57,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,16.226871631629255,True,False,-0.0801213383743201,-0.0706486768080011,-0.0713740567468624
6,798,226,19,sma,StochAstic_d,352,90,2,12,0.38,1158,595,289,105,933,331,390,481,317,232,341,49,298,594,888,558,291,263,687,614,355,292,880,251,984,11,342,749,791,700,4,52,49,20,916,18,21,37,10,473,21,21,0.15,0.31,0.12,0.21,0.28,0.43,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,11.881100247373396,True,False,-0.0886814330786593,-0.0782055180178638,-0.0782268530381668
7,849,288,14,ema,StochAstic_k,347,136,5,5,0.39,453,447,374,93,15,254,137,882,153,137,874,377,380,689,613,504,282,261,557,537,494,347,894,334,348,375,475,298,355,838,23,44,46,20,770,5,41,84,13,366,3,23,0.34,0.35,0.18,0.21,0.6,0.64,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,34.39041447457208,True,False,-0.141099265545072,-0.1557477520370967,-0.1554871428227327
8,616,275,14,ema,StochAstic_d,444,395,5,2,0.28,2039,414,84,199,620,37,237,551,144,381,828,235,14,144,654,509,441,342,774,507,285,274,307,580,271,710,153,194,484,898,27,57,55,5,337,7,39,41,7,123,4,3,0.3,0.22,0.51,0.86,0.86,0.86,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,8.256298133180774,True,False,-0.0911056688861012,-0.0875280768874644,-0.0847010208657171
9,649,268,15,sma,StochAstic_d,403,107,5,16,0.32,2553,617,50,145,573,183,313,530,196,8,206,64,351,519,908,728,358,303,571,524,472,448,395,300,776,463,210,35,325,989,19,56,99,15,740,10,50,76,7,728,7,9,0.34,0.18,0.28,0.43,0.53,0.72,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True,True,False,18.99786023227434,True,False,-0.0695600690863683,-0.0572024126157924,-0.0576853452037814
