,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
22,750.0,288.0,49.0,ema,StochAstic_d,0.9301652671184125,0.9512019442879291,6.0,137.0,39.0,4H,0.15239274073666337
38,189.0,140.0,25.0,sma,StochAstic_d,0.5406485766008072,0.5244673156429828,2.0,473.0,23.0,4H,0.14153955661779874
46,800.0,86.0,2.0,wma,StochAstic_k,0.6330736875968976,0.676786073198103,5.0,301.0,140.0,4H,0.11967089966220436
5,366.0,140.0,50.0,wma,StochAstic_k,0.5376530633545983,0.5273217863595848,4.0,134.0,133.0,4H,0.11937398626478751
14,154.0,48.0,13.0,ema,StochAstic_d,0.6013728832914987,0.5872801738769906,1.0,75.0,164.0,4H,0.11220608013165367
26,197.0,35.0,50.0,sma,StochAstic_d,0.5996479593139763,0.5744488258889535,6.0,395.0,95.0,4H,0.11127627159741536
70,186.0,30.0,48.0,wma,StochAstic_d,0.5645788566172518,0.5560720497536563,3.0,261.0,196.0,4H,0.1078876886923507
97,237.0,26.0,20.0,ema,StochAstic_k,0.5185576069643857,0.5229128376445165,6.0,348.0,130.0,4H,0.10274533242542418
43,190.0,107.0,40.0,ema,StochAstic_d,0.45947595804903213,0.47525234319480797,6.0,154.0,297.0,4H,0.09559070912558625
50,438.0,190.0,13.0,sma,StochAstic_d,0.31487852894007484,0.32086619646976344,2.0,453.0,25.0,4H,0.08463293877211558
59,409.0,48.0,9.0,sma,StochAstic_k,0.29592199131972363,0.31454097649074747,1.0,499.0,137.0,4H,0.0823509424921076
91,498.0,53.0,13.0,ema,StochAstic_k,0.14642526928497698,0.17906642288333446,3.0,183.0,23.0,4H,0.0778575795507711
62,538.0,275.0,30.0,sma,StochAstic_d,0.2954800176789673,0.27796437617912684,1.0,282.0,33.0,4H,0.06900158752562018
41,262.0,174.0,19.0,sma,StochAstic_k,0.14363352570570823,0.14994487307558946,5.0,293.0,52.0,4H,0.055644956808433024
92,556.0,209.0,48.0,ema,StochAstic_d,0.1862797267952919,0.2019663742417534,1.0,319.0,188.0,4H,0.053190599378977216
39,188.0,144.0,42.0,sma,StochAstic_k,0.15459704786855433,0.1443261527212361,3.0,317.0,94.0,4H,0.05115630412495863
27,119.0,67.0,7.0,ema,StochAstic_d,0.13204336345502055,0.05534229138621249,6.0,150.0,114.0,4H,0.04180785681380652
18,620.0,75.0,6.0,wma,StochAstic_k,0.08362002378125621,0.05339888928495232,5.0,293.0,66.0,4H,0.029922503073036785
12,455.0,20.0,17.0,wma,StochAstic_d,-0.1176933896175481,-0.12489854435948276,6.0,342.0,53.0,4H,-0.04899289975583786
78,391.0,307.0,5.0,wma,StochAstic_d,-0.16530169892647884,-0.19052588365769585,4.0,463.0,168.0,4H,-0.05012992994271879
23,445.0,271.0,30.0,ema,StochAstic_d,-0.20205851843906142,-0.19733707928961572,5.0,250.0,131.0,4H,-0.054231125431932745
67,444.0,349.0,45.0,wma,StochAstic_d,-0.2861107634559883,-0.3025105443386737,5.0,322.0,193.0,4H,-0.0702174254013125
1,445.0,212.0,30.0,wma,StochAstic_d,-0.3805055451630661,-0.37004410806487065,4.0,458.0,152.0,4H,-0.08258315901572906
