,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
62,672.0,89.0,5.0,wma,StochAstic_k,0.429984585845497,0.4180314106430727,2.0,5.0,141.0,4H,0.21064688867059697
79,609.0,235.0,9.0,ema,StochAstic_k,0.6557236953982946,0.6631369612210588,3.0,56.0,449.0,4H,0.15152049013797558
20,69.0,21.0,32.0,ema,StochAstic_k,0.49779262186774126,0.4955811659755421,4.0,186.0,303.0,4H,0.11396500125367569
24,558.0,217.0,12.0,sma,StochAstic_k,0.31055834786026415,0.31668882516089064,4.0,48.0,278.0,4H,0.10567827871051091
71,64.0,28.0,33.0,ema,StochAstic_k,0.40426349828231,0.40642957100239513,3.0,274.0,70.0,4H,0.09952534529616001
46,381.0,143.0,24.0,ema,StochAstic_k,0.17091603464476945,0.1765147640556645,4.0,23.0,77.0,4H,0.084501537993459
58,703.0,582.0,24.0,wma,StochAstic_k,0.41577505177362667,0.35491453360823466,6.0,59.0,281.0,4H,0.08388430947894857
44,188.0,43.0,20.0,ema,StochAstic_k,0.43155098940101055,0.33657298024408155,1.0,158.0,204.0,4H,0.08344310420130072
10,462.0,133.0,13.0,sma,StochAstic_k,0.12405825175044849,0.14127863757401105,6.0,29.0,428.0,4H,0.07492690590597638
23,125.0,44.0,33.0,ema,StochAstic_d,0.17720373995136682,0.1852203700878624,4.0,58.0,430.0,4H,0.06897957968488352
56,363.0,211.0,17.0,wma,StochAstic_d,0.17411267620189155,0.12142103289196217,1.0,38.0,290.0,4H,0.05024488479127552
18,462.0,380.0,17.0,ema,StochAstic_k,0.04683762393151327,0.05555830581591641,4.0,46.0,246.0,4H,0.033150541613237
11,217.0,123.0,9.0,wma,StochAstic_k,0.034224794746318704,0.008516040325701291,2.0,41.0,181.0,4H,0.01964192144585565
49,405.0,6.0,3.0,sma,StochAstic_d,-0.05710506257838341,-0.0154275655907199,6.0,166.0,47.0,4H,-0.015217524216445719
41,173.0,147.0,43.0,sma,StochAstic_k,-0.20742227726829468,-0.18568174475503849,3.0,43.0,33.0,4H,-0.08509712015451217
4,189.0,53.0,15.0,ema,StochAstic_d,-0.20144279084219688,-0.20964198634236628,4.0,21.0,343.0,4H,-0.09126428034533537
66,343.0,197.0,48.0,ema,StochAstic_k,-0.5229295609361984,-0.5312240814463834,5.0,152.0,287.0,4H,-0.10357628090904725
