,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
53,119.0,43.0,15.0,sma,StochAstic_d,0.04121802924551713,0.027534736503448603,4.0,384.0,30.0,4H,0.023880850947533276
20,82.0,6.0,2.0,sma,StochAstic_d,-0.09861678852206064,-0.0910161749195143,2.0,232.0,53.0,4H,-0.056411347904648426
79,454.0,381.0,19.0,sma,StochAstic_k,-0.437511965265834,-0.28166350953619634,2.0,22.0,26.0,4H,-0.09952606557019783
35,255.0,20.0,21.0,sma,StochAstic_d,-1.000000000000003,-0.999999999999997,5.0,82.0,127.0,4H,-0.12599210498948732
64,587.0,202.0,20.0,ema,StochAstic_d,-1.0,-1.0,4.0,465.0,12.0,4H,-0.12599210498948732
54,527.0,245.0,14.0,ema,StochAstic_k,-1.0000000000000033,-0.9999999999999969,2.0,141.0,387.0,4H,-0.12599210498948735
84,776.0,54.0,13.0,ema,StochAstic_d,-1.0000000000000004,-1.0000000000000004,2.0,248.0,315.0,4H,-0.12599210498948737
27,468.0,250.0,30.0,ema,StochAstic_k,-1.0,-1.000000000000003,6.0,78.0,224.0,4H,-0.12599210498948746
98,25.0,20.0,35.0,wma,StochAstic_d,-1.0000000000000033,-1.0000000000000009,1.0,22.0,300.0,4H,-0.1259921049894875
74,212.0,205.0,33.0,ema,StochAstic_k,-1.0,-1.000000000000007,6.0,12.0,354.0,4H,-0.12599210498948762
81,250.0,33.0,8.0,wma,StochAstic_k,-0.32619389728630416,-0.2709220268800197,6.0,325.0,32.0,4H,-0.12848244615618087
29,478.0,79.0,21.0,ema,StochAstic_d,-0.815111130767596,-0.8072153698859533,3.0,154.0,74.0,4H,-0.13806663678911757
19,371.0,250.0,39.0,ema,StochAstic_k,-0.47298524139581466,-0.4951229048974106,2.0,406.0,11.0,4H,-0.1411174167451748
16,128.0,78.0,9.0,sma,StochAstic_d,-0.9443120968871392,-0.9076093150357767,5.0,91.0,174.0,4H,-0.15078500786936344
22,784.0,38.0,41.0,wma,StochAstic_d,-0.9573323996281415,-0.935720396080363,6.0,267.0,50.0,4H,-0.15302284832061042
12,232.0,164.0,19.0,ema,StochAstic_k,-0.7307075194926476,-0.756245801919904,5.0,60.0,47.0,4H,-0.16412151355763893
